timestamp,state,district,rainfall_mm
18-09-2025 12:00,West Bengal,Murshidabad,83.72
15-07-2025 04:00,Kerala,Kottayam,6.84
14-03-2025 03:00,Odisha,Cuttack,16.68
17-07-2025 14:00,Maharashtra,Mumbai,29.26
08-07-2025 09:00,West Bengal,Murshidabad,84.57
22-09-2025 04:00,West Bengal,Kolkata,17.31
25-01-2025 00:00,Tamil Nadu,Madurai,41.02
05-08-2025 18:00,Bihar,Patna,51.74
23-09-2025 03:00,Kerala,Kochi,9.17
19-01-2025 07:00,Bihar,Gaya,25.66
25-04-2025 14:00,Bihar,Muzaffarpur,46.42
08-11-2025 23:00,Karnataka,Mangaluru,50.69
08-08-2025 16:00,Bihar,Patna,30.41
24-08-2025 13:00,Bihar,Darbhanga,49.83
16-06-2025 15:00,Maharashtra,Kolhapur,65.11
09-09-2025 09:00,Kerala,Alappuzha,71.12
25-01-2025 06:00,Tamil Nadu,Madurai,69.24
18-02-2026 18:00,Tamil Nadu,Chennai,8.36
21-10-2025 19:00,West Bengal,Murshidabad,40.01
06-12-2025 22:00,Tamil Nadu,Coimbatore,58.5
17-02-2026 08:00,Bihar,Bhagalpur,8.09
04-04-2025 17:00,Tamil Nadu,Thanjavur,14.36
13-07-2025 08:00,Odisha,Puri,14.31
31-01-2026 05:00,Karnataka,Mysuru,24.0
26-07-2025 03:00,Uttar Pradesh,Kanpur,54.85
18-02-2026 08:00,Odisha,Balasore,85.89
23-03-2025 19:00,Maharashtra,Pune,56.02
10-12-2025 11:00,Maharashtra,Mumbai,58.81
02-10-2025 14:00,Odisha,Cuttack,20.59
04-01-2026 15:00,Uttar Pradesh,Gorakhpur,11.3
14-01-2025 09:00,Odisha,Kendrapara,69.6
22-04-2025 14:00,Bihar,Gaya,29.37
12-07-2025 17:00,Assam,Guwahati,2.77
26-07-2025 05:00,Maharashtra,Nagpur,34.17
14-12-2025 00:00,West Bengal,Kolkata,7.01
20-05-2025 01:00,Uttar Pradesh,Lucknow,21.37
21-08-2025 21:00,Karnataka,Mysuru,36.52
11-01-2025 11:00,Maharashtra,Nashik,50.94
15-06-2025 13:00,Gujarat,Vadodara,19.87
04-10-2025 06:00,Assam,Dibrugarh,24.8
20-08-2025 03:00,Kerala,Kochi,16.06
02-01-2025 11:00,Assam,Dibrugarh,32.34
15-12-2025 10:00,Kerala,Thrissur,11.66
05-03-2025 01:00,Gujarat,Rajkot,26.91
24-01-2026 05:00,Bihar,Darbhanga,12.25
02-01-2025 15:00,Maharashtra,Mumbai,49.68
20-07-2025 19:00,West Bengal,Kolkata,21.57
25-05-2025 09:00,Kerala,Thrissur,53.83
15-03-2025 08:00,Uttar Pradesh,Prayagraj,33.19
07-04-2025 00:00,Karnataka,Bengaluru,26.91
05-06-2025 03:00,Uttar Pradesh,Lucknow,18.62
12-12-2025 04:00,West Bengal,Malda,19.97
28-07-2025 01:00,Odisha,Cuttack,47.44
05-12-2025 15:00,Odisha,Kendrapara,69.84
07-05-2025 08:00,Bihar,Bhagalpur,47.9
27-11-2025 18:00,West Bengal,Howrah,15.4
07-05-2025 15:00,Karnataka,Udupi,12.12
07-02-2026 07:00,Tamil Nadu,Chennai,53.09
17-04-2025 01:00,Uttar Pradesh,Varanasi,50.32
19-04-2025 00:00,Gujarat,Vadodara,25.11
19-02-2025 12:00,Odisha,Balasore,28.33
28-11-2025 22:00,Maharashtra,Nagpur,15.58
11-09-2025 05:00,Gujarat,Ahmedabad,7.37
05-01-2025 11:00,Bihar,Bhagalpur,9.59
24-02-2025 19:00,Odisha,Bhubaneswar,33.96
08-12-2025 03:00,Odisha,Balasore,39.7
25-04-2025 17:00,West Bengal,Darjeeling,35.18
11-02-2026 09:00,West Bengal,Darjeeling,104.02124999999998
17-09-2025 15:00,Kerala,Kozhikode,74.16
30-04-2025 20:00,Karnataka,Udupi,16.98
10-08-2025 19:00,West Bengal,Murshidabad,93.71
03-02-2025 07:00,Uttar Pradesh,Kanpur,42.88
29-05-2025 18:00,Uttar Pradesh,Lucknow,104.02124999999998
01-05-2025 14:00,Bihar,Darbhanga,47.2
02-05-2025 23:00,Assam,Guwahati,53.76
07-12-2025 18:00,Uttar Pradesh,Varanasi,18.82
10-02-2025 11:00,Tamil Nadu,Madurai,19.71
06-10-2025 15:00,Bihar,Gaya,57.61
24-12-2025 07:00,Maharashtra,Mumbai,16.7
26-03-2025 04:00,Bihar,Bhagalpur,21.35
13-01-2026 06:00,Odisha,Bhubaneswar,62.5
09-02-2025 16:00,Bihar,Patna,25.81
12-08-2025 07:00,Kerala,Kottayam,22.56
10-06-2025 17:00,Assam,Guwahati,30.75
02-09-2025 05:00,Uttar Pradesh,Varanasi,13.6
12-05-2025 01:00,Maharashtra,Nashik,73.96
18-05-2025 17:00,Tamil Nadu,Chennai,19.57
06-05-2025 06:00,Maharashtra,Nagpur,62.97
11-01-2026 01:00,Karnataka,Udupi,41.35
20-11-2025 18:00,West Bengal,Murshidabad,3.18
06-11-2025 22:00,West Bengal,Murshidabad,16.08
27-11-2025 22:00,Assam,Barpeta,37.52
20-01-2026 22:00,Kerala,Kochi,53.36
14-02-2025 00:00,Maharashtra,Nashik,13.99
12-05-2025 10:00,Uttar Pradesh,Varanasi,22.76
07-06-2025 19:00,Karnataka,Bengaluru,96.67
18-01-2026 21:00,Uttar Pradesh,Gorakhpur,20.19
23-11-2025 01:00,Assam,Jorhat,30.69
11-11-2025 03:00,West Bengal,Murshidabad,1.55
29-10-2025 07:00,Maharashtra,Mumbai,39.06
01-02-2025 20:00,Gujarat,Bharuch,22.65
29-07-2025 03:00,Kerala,Kochi,21.03
24-07-2025 07:00,Bihar,Darbhanga,40.35
04-12-2025 05:00,Bihar,Patna,28.61
13-10-2025 03:00,Karnataka,Udupi,69.52
01-04-2025 05:00,Kerala,Kottayam,9.43
19-03-2025 14:00,Karnataka,Bengaluru,56.75
24-11-2025 02:00,Odisha,Puri,15.15
16-01-2026 03:00,Gujarat,Surat,65.27
08-04-2025 12:00,Assam,Dhemaji,68.01
19-08-2025 07:00,Kerala,Kozhikode,45.35
08-10-2025 23:00,Tamil Nadu,Thanjavur,18.55
16-06-2025 19:00,Kerala,Thrissur,22.27
16-02-2025 19:00,Karnataka,Mysuru,36.15
29-12-2025 21:00,Assam,Guwahati,15.17
18-06-2025 17:00,Maharashtra,Nagpur,80.04
15-11-2025 08:00,Uttar Pradesh,Gorakhpur,67.57
01-02-2025 21:00,Uttar Pradesh,Gorakhpur,21.65
08-04-2025 16:00,Odisha,Kendrapara,55.0
19-06-2025 15:00,Karnataka,Udupi,37.08
28-10-2025 16:00,Kerala,Kozhikode,48.87
25-06-2025 16:00,Tamil Nadu,Tiruppur,10.64
28-11-2025 08:00,Maharashtra,Mumbai,76.75
06-09-2025 18:00,Tamil Nadu,Tiruppur,29.56
20-05-2025 14:00,Kerala,Kochi,10.78
15-07-2025 15:00,Karnataka,Bengaluru,38.39
22-05-2025 15:00,Maharashtra,Pune,28.07
20-06-2025 01:00,Bihar,Bhagalpur,30.34
17-01-2026 05:00,Assam,Guwahati,25.22
21-02-2025 00:00,Assam,Barpeta,58.1
20-09-2025 04:00,Odisha,Cuttack,27.82
11-05-2025 02:00,Tamil Nadu,Thanjavur,12.11
22-01-2025 06:00,Karnataka,Mangaluru,35.33
30-08-2025 10:00,West Bengal,Howrah,67.06
07-12-2025 21:00,Gujarat,Surat,36.91
28-01-2026 09:00,Kerala,Kozhikode,16.28
05-01-2025 00:00,Uttar Pradesh,Varanasi,16.84
06-10-2025 09:00,West Bengal,Murshidabad,62.06
05-03-2025 00:00,West Bengal,Murshidabad,45.53
02-01-2026 07:00,Gujarat,Surat,56.33
05-01-2025 23:00,Uttar Pradesh,Varanasi,58.91
21-11-2025 15:00,West Bengal,Howrah,21.44
29-09-2025 13:00,Bihar,Gaya,19.91
02-01-2025 09:00,Karnataka,Bengaluru,28.63
