timestamp,state,district,road_closures,bridge_closures
18-09-2025 12:00,West Bengal,Murshidabad,2,2.0
15-07-2025 04:00,Kerala,Kottayam,1,0.0
14-03-2025 03:00,Odisha,Cuttack,1,1.0
17-07-2025 14:00,Maharashtra,Mumbai,0,1.0
08-07-2025 09:00,West Bengal,Murshidabad,2,1.0
22-09-2025 04:00,West Bengal,Kolkata,0,0.0
25-01-2025 00:00,Tamil Nadu,Madurai,2,0.0
05-08-2025 18:00,Bihar,Patna,2,1.0
23-09-2025 03:00,Kerala,Kochi,0,0.0
19-01-2025 07:00,Bihar,Gaya,3,1.0
25-04-2025 14:00,Bihar,Muzaffarpur,0,1.0
08-11-2025 23:00,Karnataka,Mangaluru,2,1.0
08-08-2025 16:00,Bihar,Patna,3,0.0
24-08-2025 13:00,Bihar,Darbhanga,0,0.0
16-06-2025 15:00,Maharashtra,Kolhapur,0,2.5
09-09-2025 09:00,Kerala,Alappuzha,1,0.0
25-01-2025 06:00,Tamil Nadu,Madurai,2,0.0
18-02-2026 18:00,Tamil Nadu,Chennai,1,0.0
21-10-2025 19:00,West Bengal,Murshidabad,0,1.0
06-12-2025 22:00,Tamil Nadu,Coimbatore,2,2.0
17-02-2026 08:00,Bihar,Bhagalpur,1,2.5
04-04-2025 17:00,Tamil Nadu,Thanjavur,1,0.0
13-07-2025 08:00,Odisha,Puri,1,0.0
31-01-2026 05:00,Karnataka,Mysuru,1,2.0
26-07-2025 03:00,Uttar Pradesh,Kanpur,2,2.0
18-02-2026 08:00,Odisha,Balasore,2,0.0
23-03-2025 19:00,Maharashtra,Pune,3,0.0
10-12-2025 11:00,Maharashtra,Mumbai,2,0.0
02-10-2025 14:00,Odisha,Cuttack,5,0.0
04-01-2026 15:00,Uttar Pradesh,Gorakhpur,0,2.0
14-01-2025 09:00,Odisha,Kendrapara,1,0.0
22-04-2025 14:00,Bihar,Gaya,3,0.0
12-07-2025 17:00,Assam,Guwahati,0,0.0
26-07-2025 05:00,Maharashtra,Nagpur,3,1.0
14-12-2025 00:00,West Bengal,Kolkata,1,1.0
20-05-2025 01:00,Uttar Pradesh,Lucknow,1,0.0
21-08-2025 21:00,Karnataka,Mysuru,1,0.0
11-01-2025 11:00,Maharashtra,Nashik,2,0.0
15-06-2025 13:00,Gujarat,Vadodara,1,0.0
04-10-2025 06:00,Assam,Dibrugarh,1,0.0
20-08-2025 03:00,Kerala,Kochi,1,0.0
02-01-2025 11:00,Assam,Dibrugarh,2,0.0
15-12-2025 10:00,Kerala,Thrissur,0,1.0
05-03-2025 01:00,Gujarat,Rajkot,0,0.0
24-01-2026 05:00,Bihar,Darbhanga,0,0.0
02-01-2025 15:00,Maharashtra,Mumbai,1,0.0
20-07-2025 19:00,West Bengal,Kolkata,1,1.0
25-05-2025 09:00,Kerala,Thrissur,2,0.0
15-03-2025 08:00,Uttar Pradesh,Prayagraj,3,0.0
07-04-2025 00:00,Karnataka,Bengaluru,2,1.0
05-06-2025 03:00,Uttar Pradesh,Lucknow,0,0.0
12-12-2025 04:00,West Bengal,Malda,2,0.0
28-07-2025 01:00,Odisha,Cuttack,0,0.0
05-12-2025 15:00,Odisha,Kendrapara,4,2.5
07-05-2025 08:00,Bihar,Bhagalpur,1,0.0
27-11-2025 18:00,West Bengal,Howrah,1,2.0
07-05-2025 15:00,Karnataka,Udupi,0,1.0
07-02-2026 07:00,Tamil Nadu,Chennai,3,2.0
17-04-2025 01:00,Uttar Pradesh,Varanasi,0,1.0
19-04-2025 00:00,Gujarat,Vadodara,3,1.0
19-02-2025 12:00,Odisha,Balasore,1,1.0
28-11-2025 22:00,Maharashtra,Nagpur,0,0.0
11-09-2025 05:00,Gujarat,Ahmedabad,1,0.0
05-01-2025 11:00,Bihar,Bhagalpur,0,0.0
24-02-2025 19:00,Odisha,Bhubaneswar,1,2.0
08-12-2025 03:00,Odisha,Balasore,1,0.0
25-04-2025 17:00,West Bengal,Darjeeling,2,1.0
11-02-2026 09:00,West Bengal,Darjeeling,2,1.0
17-09-2025 15:00,Kerala,Kozhikode,2,1.0
30-04-2025 20:00,Karnataka,Udupi,1,1.0
10-08-2025 19:00,West Bengal,Murshidabad,2,0.0
03-02-2025 07:00,Uttar Pradesh,Kanpur,2,0.0
29-05-2025 18:00,Uttar Pradesh,Lucknow,5,2.0
01-05-2025 14:00,Bihar,Darbhanga,1,0.0
02-05-2025 23:00,Assam,Guwahati,1,0.0
07-12-2025 18:00,Uttar Pradesh,Varanasi,1,1.0
10-02-2025 11:00,Tamil Nadu,Madurai,1,1.0
06-10-2025 15:00,Bihar,Gaya,0,0.0
24-12-2025 07:00,Maharashtra,Mumbai,1,0.0
26-03-2025 04:00,Bihar,Bhagalpur,1,0.0
13-01-2026 06:00,Odisha,Bhubaneswar,2,1.0
09-02-2025 16:00,Bihar,Patna,0,0.0
12-08-2025 07:00,Kerala,Kottayam,2,1.0
10-06-2025 17:00,Assam,Guwahati,0,0.0
02-09-2025 05:00,Uttar Pradesh,Varanasi,2,0.0
12-05-2025 01:00,Maharashtra,Nashik,3,0.0
18-05-2025 17:00,Tamil Nadu,Chennai,4,0.0
06-05-2025 06:00,Maharashtra,Nagpur,5,0.0
11-01-2026 01:00,Karnataka,Udupi,1,1.0
20-11-2025 18:00,West Bengal,Murshidabad,0,1.0
06-11-2025 22:00,West Bengal,Murshidabad,0,0.0
27-11-2025 22:00,Assam,Barpeta,0,2.5
20-01-2026 22:00,Kerala,Kochi,2,1.0
14-02-2025 00:00,Maharashtra,Nashik,2,0.0
12-05-2025 10:00,Uttar Pradesh,Varanasi,2,0.0
07-06-2025 19:00,Karnataka,Bengaluru,1,1.0
18-01-2026 21:00,Uttar Pradesh,Gorakhpur,3,0.0
23-11-2025 01:00,Assam,Jorhat,1,0.0
11-11-2025 03:00,West Bengal,Murshidabad,3,1.0
29-10-2025 07:00,Maharashtra,Mumbai,0,1.0
01-02-2025 20:00,Gujarat,Bharuch,1,0.0
29-07-2025 03:00,Kerala,Kochi,0,0.0
24-07-2025 07:00,Bihar,Darbhanga,0,1.0
04-12-2025 05:00,Bihar,Patna,0,1.0
13-10-2025 03:00,Karnataka,Udupi,0,0.0
01-04-2025 05:00,Kerala,Kottayam,0,1.0
19-03-2025 14:00,Karnataka,Bengaluru,1,0.0
24-11-2025 02:00,Odisha,Puri,3,0.0
16-01-2026 03:00,Gujarat,Surat,0,1.0
08-04-2025 12:00,Assam,Dhemaji,2,2.5
19-08-2025 07:00,Kerala,Kozhikode,0,2.5
08-10-2025 23:00,Tamil Nadu,Thanjavur,0,0.0
16-06-2025 19:00,Kerala,Thrissur,1,0.0
16-02-2025 19:00,Karnataka,Mysuru,0,0.0
29-12-2025 21:00,Assam,Guwahati,1,1.0
18-06-2025 17:00,Maharashtra,Nagpur,2,1.0
15-11-2025 08:00,Uttar Pradesh,Gorakhpur,1,0.0
01-02-2025 21:00,Uttar Pradesh,Gorakhpur,1,1.0
08-04-2025 16:00,Odisha,Kendrapara,0,0.0
19-06-2025 15:00,Karnataka,Udupi,2,0.0
