district,samples,accuracy,severe_recall
Vadodara,26,0.9615384615384616,0.9545454545454546
Malda,21,1.0,1.0
Prayagraj,32,0.96875,0.9523809523809523
Puri,30,0.9666666666666667,1.0
Bhubaneswar,30,0.9,0.9090909090909091
Bhagalpur,23,0.9130434782608695,1.0
Cuttack,27,0.9629629629629629,1.0
Gorakhpur,35,0.9142857142857143,1.0
Varanasi,36,0.9444444444444444,1.0
Kendrapara,25,1.0,1.0
Kochi,36,0.9444444444444444,0.9615384615384616
Chennai,38,1.0,1.0
Madurai,37,0.9459459459459459,1.0
Bengaluru,31,0.967741935483871,1.0
Dhemaji,26,0.9615384615384616,1.0
Thrissur,24,1.0,1.0
Surat,26,0.9615384615384616,0.9473684210526315
Pune,28,1.0,1.0
Nashik,34,0.9411764705882353,0.92
Barpeta,25,0.96,1.0
Gaya,30,0.9333333333333333,1.0
Ahmedabad,41,1.0,1.0
Mumbai,37,1.0,1.0
Murshidabad,28,1.0,1.0
Mysuru,29,0.9310344827586207,0.9523809523809523
Patna,27,1.0,1.0
Darjeeling,38,1.0,1.0
Guwahati,27,0.9629629629629629,1.0
Kottayam,21,1.0,1.0
Bharuch,28,0.9642857142857143,1.0
Rajkot,36,0.9722222222222222,0.967741935483871
Balasore,37,1.0,1.0
Alappuzha,36,0.9722222222222222,1.0
Nagpur,24,0.9583333333333334,1.0
Kolhapur,24,1.0,1.0
Lucknow,31,0.967741935483871,0.9583333333333334
Kozhikode,22,1.0,1.0
Kolkata,30,0.9666666666666667,0.96
Tiruppur,42,0.9761904761904762,1.0
Coimbatore,44,0.9545454545454546,1.0
Udupi,41,0.975609756097561,1.0
Kanpur,35,0.8857142857142857,0.9523809523809523
Darbhanga,30,1.0,1.0
Jorhat,26,0.9230769230769231,0.95
Howrah,29,0.9655172413793104,1.0
Dibrugarh,22,1.0,1.0
Kodagu,24,0.9583333333333334,0.9523809523809523
Thanjavur,23,1.0,1.0
Mangaluru,28,1.0,1.0
Muzaffarpur,20,1.0,1.0
