district,zone_risk
Howrah,82.17821782178217
Ahmedabad,81.13207547169812
Mangaluru,80.0
Mumbai,79.89690721649485
Vadodara,79.70297029702971
Cuttack,79.60199004975125
Dibrugarh,78.44311377245509
Patna,78.23834196891191
Nagpur,77.77777777777779
Malda,77.08333333333334
Chennai,76.96335078534031
Nashik,76.73267326732673
Darbhanga,76.5
Gorakhpur,75.77319587628865
Thanjavur,75.75757575757575
Darjeeling,75.67567567567568
Kodagu,75.625
Dhemaji,75.47169811320755
Muzaffarpur,75.40106951871658
Kolhapur,75.14792899408283
Kottayam,75.13812154696133
Bhubaneswar,75.1269035532995
Thrissur,75.0
Tiruppur,74.87437185929649
Lucknow,74.74747474747475
Alappuzha,74.37185929648241
Madurai,74.27385892116183
Kolkata,74.19354838709677
Jorhat,73.95833333333334
Kanpur,73.95348837209302
Bhagalpur,73.88888888888889
Prayagraj,73.7864077669903
Kendrapara,73.65853658536585
Kozhikode,73.48837209302326
Bharuch,73.4375
Balasore,73.39449541284404
Coimbatore,73.21428571428571
Pune,72.35023041474655
Surat,72.26890756302521
Murshidabad,72.14611872146118
Udupi,71.68141592920354
Mysuru,71.56862745098039
Gaya,71.49758454106279
Barpeta,71.19565217391305
Bengaluru,70.12987012987013
Rajkot,69.47368421052632
Guwahati,69.08212560386472
Puri,67.85714285714286
Kochi,66.50485436893204
Varanasi,65.74585635359117
