event_id,flood_event_date,timestamp,state,district,flood_severity,duration_hours,flood_history_count,population_affected,road_closures,bridge_closures,cause
FLOOD000001,18-09-2025,18-09-2025 12:00,West Bengal,Murshidabad,Severe,7.3,5,4111.0,2,2.0,Cyclonic Rain
FLOOD000002,15-07-2025,15-07-2025 04:00,Kerala,Kottayam,Severe,10.0,8,1431.0,1,0.0,River Overflow
FLOOD000003,14-03-2025,14-03-2025 03:00,Odisha,Cuttack,Severe,11.6,7,2958.0,1,1.0,Urban Waterlogging
FLOOD000004,17-07-2025,17-07-2025 14:00,Maharashtra,Mumbai,Severe,3.1,3,2651.0,0,1.0,Cyclonic Rain
FLOOD000005,08-07-2025,08-07-2025 09:00,West Bengal,Murshidabad,Severe,2.0,2,3007.0,2,1.0,Heavy Rainfall
FLOOD000006,22-09-2025,22-09-2025 04:00,West Bengal,Kolkata,Severe,9.0,8,1955.0,0,0.0,Cyclonic Rain
FLOOD000007,25-01-2025,25-01-2025 00:00,Tamil Nadu,Madurai,Moderate,2.0,1,1800.0,2,0.0,River Overflow
FLOOD000008,05-08-2025,05-08-2025 18:00,Bihar,Patna,Severe,4.0,4,2190.0,2,1.0,Heavy Rainfall
FLOOD000009,23-09-2025,23-09-2025 03:00,Kerala,Kochi,Severe,4.2,3,755.0,0,0.0,Urban Waterlogging
FLOOD000010,19-01-2025,19-01-2025 07:00,Bihar,Gaya,Severe,6.5,3,2353.0,3,1.0,Heavy Rainfall
FLOOD000011,25-04-2025,25-04-2025 14:00,Bihar,Muzaffarpur,Severe,6.3,4,3304.0,0,1.0,River Overflow
FLOOD000012,08-11-2025,08-11-2025 23:00,Karnataka,Mangaluru,Severe,2.0,1,2322.0,2,1.0,Heavy Rainfall
FLOOD000013,08-08-2025,08-08-2025 16:00,Bihar,Patna,Moderate,2.0,1,1914.0,3,0.0,Urban Waterlogging
FLOOD000014,24-08-2025,24-08-2025 13:00,Bihar,Darbhanga,Severe,7.8,5,2855.0,0,0.0,River Overflow
FLOOD000015,16-06-2025,16-06-2025 15:00,Maharashtra,Kolhapur,Severe,7.7,5,2356.0,0,2.5,River Overflow
FLOOD000016,09-09-2025,09-09-2025 09:00,Kerala,Alappuzha,Severe,2.0,2,2382.0,1,0.0,Heavy Rainfall
FLOOD000017,25-01-2025,25-01-2025 06:00,Tamil Nadu,Madurai,Severe,4.5,4,2586.0,2,0.0,Urban Waterlogging
FLOOD000018,18-02-2026,18-02-2026 18:00,Tamil Nadu,Chennai,Severe,3.6,4,1174.0,1,0.0,Heavy Rainfall
FLOOD000019,21-10-2025,21-10-2025 19:00,West Bengal,Murshidabad,Severe,6.9,6,1811.0,0,1.0,River Overflow
FLOOD000020,06-12-2025,06-12-2025 22:00,Tamil Nadu,Coimbatore,Severe,6.3,6,2628.0,2,2.0,Heavy Rainfall
FLOOD000021,17-02-2026,17-02-2026 08:00,Bihar,Bhagalpur,Severe,2.0,2,1573.0,1,2.5,Cyclonic Rain
