month,rainfall_mm,river_level_m,river_level_threshold_m,emergency_calls
1,39.98100218413978,4.8741397849462365,5.482876344086022,39.07325268817204
2,39.226786172945204,5.078236301369863,5.503638698630137,38.85787671232877
3,39.506429771505374,4.884099462365591,5.564959677419354,38.80107526881721
4,39.87382465277778,5.0055555555555555,5.525902777777778,39.173611111111114
5,39.12466229838709,5.041545698924731,5.522849462365591,38.75403225806452
6,39.076569444444445,5.017361111111111,5.473222222222222,38.68194444444445
7,39.95147009408602,4.849784946236559,5.493172043010753,38.94086021505376
8,38.563459341397845,4.985362903225806,5.5125806451612895,38.82258064516129
9,38.17125868055556,5.062791666666667,5.525486111111111,38.38333333333333
10,38.31445564516129,4.917029569892473,5.506787634408602,38.38172043010753
11,40.57710069444445,4.932527777777778,5.521430555555555,39.49722222222222
12,38.68066364247312,5.105954301075268,5.497217741935484,38.89784946236559
