month,SlNo,State LGD Code,District LGD Code,Latitude
1,13912.950342465754,28.0,530.1566780821918,16.81853572229452
2,14401.635359116022,28.0,534.220073664825,16.652450635589318
3,15141.913759689922,28.0,532.1695736434109,16.929720608420542
4,15906.010251630942,28.0,543.1947809878844,17.127029617092262
5,16056.304449648713,28.0,541.9055425448868,17.214875749117876
6,15781.90014164306,28.0,546.7138810198301,17.19904843467422
7,16741.90550070522,28.0,544.1918194640339,17.440373179055005
8,16014.878815911194,28.0,548.1248843663275,17.228405541396853
9,16733.11824953445,28.0,544.9450651769088,17.269033986098695
10,16147.710306406685,28.0,544.3992571959146,17.134597132609102
11,15896.938232161874,28.0,547.1320553780618,17.051522897838126
12,14755.203966005665,28.0,539.6562795089708,16.88765030032106
