month,SlNo,State LGD Code,District LGD Code,Latitude
1,7646.139175257732,12.0,280.9931271477663,27.891579323367697
2,7627.594642857143,12.0,299.4357142857143,27.88582192425
3,8998.896797153026,12.0,316.2508896797153,27.78258501357651
4,9181.789799072643,12.0,306.3029366306028,27.830061823338486
5,9651.711647727272,12.0,341.90625,27.763930713267044
6,9925.957166392092,12.0,326.60626029654037,27.785376624629322
7,10074.547504025764,12.0,325.7568438003221,27.765718822495973
8,9241.033834586466,12.0,285.0338345864662,27.76398966105263
9,9503.305907172995,12.0,301.79957805907173,27.84777836337553
10,9956.872469635628,12.0,313.41902834008096,27.69827710283401
11,9232.948473282442,12.0,306.01335877862596,27.73149119986641
12,9875.206293706293,12.0,325.8793706293706,27.785370046433567
