month,SlNo,State LGD Code,District LGD Code,Latitude
1,72255.68703292264,18.0,290.87982225812965,26.548176401697635
2,71201.35570995205,18.0,291.68538995987865,26.552570628426462
3,66993.15930521092,18.0,293.4379652605459,26.532280548133997
4,67967.38994967437,18.0,307.94530787448195,26.498016983992006
5,66669.66466391287,18.0,299.51833771435724,26.480662308531105
6,67313.79296718401,18.0,297.04879445621674,26.471120782855508
7,66392.437487183,18.0,292.0941281017158,26.432656211052702
8,71236.63223481721,18.0,290.7218677276481,26.438649716902635
9,72646.83333333333,18.0,294.42550242550243,26.45578386721067
10,65524.439292822855,18.0,291.45591851071305,26.403498206184288
11,71681.30300657688,18.0,287.52505480739114,26.46398401840432
12,71312.02628555014,18.0,288.0656420568802,26.49256916048262
