month,SlNo,State LGD Code,District LGD Code,Latitude
1,19787.796089385476,22.0,427.3119180633147,21.481912248640597
2,20004.81514940931,22.0,424.3474635163308,21.45896377849201
3,20874.53750966744,22.0,424.31631863882444,21.527018904416085
4,20652.15918367347,22.0,437.629387755102,21.473785214889798
5,19752.74581430746,22.0,429.0327245053272,21.247828766727547
6,19203.092485549132,22.0,436.89531149646757,21.028568536120744
7,19717.417554858934,22.0,437.9717868338558,21.100357262369908
8,20635.208614864863,22.0,436.1089527027027,21.029595157601353
9,19881.86284289277,22.0,432.9908561928512,21.0285525258271
10,20762.635802469136,22.0,435.6516754850088,21.066429394303352
11,20640.033832140532,22.0,426.80026024723486,21.13555090712427
12,20066.06348020911,22.0,427.865571321882,21.153284955526512
