month,SlNo,State LGD Code,District LGD Code,Latitude
1,182.0,7.0,80.0,28.6625
2,253.0,7.0,80.0,28.662500000000005
3,186.5,7.0,80.0,28.6625
4,120.83333333333333,7.0,80.0,28.662500000000005
5,168.58333333333334,7.0,80.0,28.662500000000005
6,248.55555555555554,7.0,80.0,28.662500000000005
7,215.91666666666666,7.0,80.0,28.662500000000005
8,210.21428571428572,7.0,80.0,28.6625
9,152.32,7.0,80.0,28.6625
10,174.3548387096774,7.0,80.0,28.6625
11,169.27272727272728,7.0,80.0,28.6625
12,154.16666666666666,7.0,80.0,28.662500000000005
