month,SlNo,State LGD Code,District LGD Code,Latitude
1,6521.509842519685,38.0,465.0,20.237759735649604
2,6386.662251655629,38.0,465.0,20.238534464150113
3,6283.9448123620305,38.0,465.0,20.238308808013244
4,5992.629787234043,38.0,465.0,20.235460404340426
5,6179.317021276595,38.0,465.0,20.237828607723404
6,6262.21568627451,38.0,465.0,20.237019337990194
7,5899.563829787234,38.0,465.0,20.23869858414894
8,6395.506527415144,38.0,465.0,20.239192053603134
9,6659.567493112948,38.0,465.0,20.237513011322314
10,7118.006430868168,38.0,465.0,20.236608612540195
11,6625.65976331361,38.0,465.0,20.233806708402366
12,6351.106442577031,38.0,465.0,20.233640680784315
