month,SlNo,State LGD Code,District LGD Code,Latitude
1,23705.80368407772,2.0,19.312641937925815,31.54734046763563
2,24299.619784833376,2.0,19.2626607189714,31.570021741367096
3,23866.537414965987,2.0,19.38212526389866,31.549559875787004
4,25467.413660086226,2.0,19.221465849784433,31.578549144147946
5,25257.11946634324,2.0,19.481099656357387,31.541875564204567
6,25203.864679822796,2.0,19.600886024969796,31.515456867565444
7,21942.303189561437,2.0,20.557267125770206,31.387035699340345
8,22146.648,2.0,20.499243243243242,31.39132741896216
9,22074.530651340996,2.0,20.3397190293742,31.395293193218393
10,25460.080615610113,2.0,19.630633931843168,31.505455426735068
11,25104.15914924826,2.0,19.214888155482214,31.548773918760542
12,25208.325512227362,2.0,19.42366159947125,31.524897594134174
