month,SlNo,State LGD Code,District LGD Code,Latitude
1,894.575,6.0,66.125,29.569861802499997
2,842.8484848484849,6.0,65.93939393939394,29.529066326969698
3,967.1923076923077,6.0,65.92307692307692,29.52547991153846
4,815.9310344827586,6.0,65.55172413793103,29.443858043103447
5,553.0833333333334,6.0,66.41666666666667,29.633968978333332
6,628.6,6.0,66.74545454545455,29.706235249272726
7,705.3870967741935,6.0,66.7741935483871,29.712551968064517
8,898.7555555555556,6.0,65.91111111111111,29.522849873555554
9,990.7586206896551,6.0,66.03448275862068,29.549966472068967
10,1020.5074626865671,6.0,65.11940298507463,29.348835569402986
11,829.1777777777778,6.0,66.22222222222223,29.59123086111111
12,1162.9814814814815,6.0,66.22222222222223,29.59123086111111
