SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,Ambabal (Narangi),CWC,22,Chhattisgarh,374,BASTAR,BASTAR,BASTAR,Bhanpuri,Godavari,Godavari,Indravathi,Narangi,-,Narangi,19.29666667,81.78888889,12-02-2021 13:00,10.5
2,Ambabal (Narangi),CWC,22,Chhattisgarh,374,BASTAR,BASTAR,BASTAR,Bhanpuri,Godavari,Godavari,Indravathi,Narangi,-,Narangi,19.29666667,81.78888889,12-02-2021 18:30,10.5
3,Ambabal (Narangi),CWC,22,Chhattisgarh,374,BASTAR,BASTAR,BASTAR,Bhanpuri,Godavari,Godavari,Indravathi,Narangi,-,Narangi,19.29666667,81.78888889,17-02-2021 07:00,1.5
4,Ambabal (Narangi),CWC,22,Chhattisgarh,374,BASTAR,BASTAR,BASTAR,Bhanpuri,Godavari,Godavari,Indravathi,Narangi,-,Narangi,19.29666667,81.78888889,17-02-2021 12:30,1.5
5,Ambabal (Narangi),CWC,22,Chhattisgarh,374,BASTAR,BASTAR,BASTAR,Bhanpuri,Godavari,Godavari,Indravathi,Narangi,-,Narangi,19.29666667,81.78888889,18-02-2021 18:30,1
6,Ambabal (Narangi),CWC,22,Chhattisgarh,374,BASTAR,BASTAR,BASTAR,Bhanpuri,Godavari,Godavari,Indravathi,Narangi,-,Narangi,19.29666667,81.78888889,19-02-2021 00:30,5.5
7,Ambabal (Narangi),CWC,22,Chhattisgarh,374,BASTAR,BASTAR,BASTAR,Bhanpuri,Godavari,Godavari,Indravathi,Narangi,-,Narangi,19.29666667,81.78888889,19-02-2021 04:30,0.5
8,Ambabal (Narangi),CWC,22,Chhattisgarh,374,BASTAR,BASTAR,BASTAR,Bhanpuri,Godavari,Godavari,Indravathi,Narangi,-,Narangi,19.29666667,81.78888889,10-03-2021 09:00,0.5
9,Ambabal (Narangi),CWC,22,Chhattisgarh,374,BASTAR,BASTAR,BASTAR,Bhanpuri,Godavari,Godavari,Indravathi,Narangi,-,Narangi,19.29666667,81.78888889,10-03-2021 10:00,2.5
10,Ambabal (Narangi),CWC,22,Chhattisgarh,374,BASTAR,BASTAR,BASTAR,Bhanpuri,Godavari,Godavari,Indravathi,Narangi,-,Narangi,19.29666667,81.78888889,10-03-2021 14:30,0.5
11,Ambabal (Narangi),CWC,22,Chhattisgarh,374,BASTAR,BASTAR,BASTAR,Bhanpuri,Godavari,Godavari,Indravathi,Narangi,-,Narangi,19.29666667,81.78888889,10-03-2021 15:30,2.5
12,Ambabal (Narangi),CWC,22,Chhattisgarh,374,BASTAR,BASTAR,BASTAR,Bhanpuri,Godavari,Godavari,Indravathi,Narangi,-,Narangi,19.29666667,81.78888889,11-03-2021 05:00,0.5
13,Ambabal (Narangi),CWC,22,Chhattisgarh,374,BASTAR,BASTAR,BASTAR,Bhanpuri,Godavari,Godavari,Indravathi,Narangi,-,Narangi,19.29666667,81.78888889,11-03-2021 10:30,0.5
14,Ambabal (Narangi),CWC,22,Chhattisgarh,374,BASTAR,BASTAR,BASTAR,Bhanpuri,Godavari,Godavari,Indravathi,Narangi,-,Narangi,19.29666667,81.78888889,22-03-2021 14:00,1
15,Ambabal (Narangi),CWC,22,Chhattisgarh,374,BASTAR,BASTAR,BASTAR,Bhanpuri,Godavari,Godavari,Indravathi,Narangi,-,Narangi,19.29666667,81.78888889,22-03-2021 15:00,0.5
16,Ambabal (Narangi),CWC,22,Chhattisgarh,374,BASTAR,BASTAR,BASTAR,Bhanpuri,Godavari,Godavari,Indravathi,Narangi,-,Narangi,19.29666667,81.78888889,22-03-2021 19:30,1
17,Ambabal (Narangi),CWC,22,Chhattisgarh,374,BASTAR,BASTAR,BASTAR,Bhanpuri,Godavari,Godavari,Indravathi,Narangi,-,Narangi,19.29666667,81.78888889,22-03-2021 20:30,0.5
18,Ambabal (Narangi),CWC,22,Chhattisgarh,374,BASTAR,BASTAR,BASTAR,Bhanpuri,Godavari,Godavari,Indravathi,Narangi,-,Narangi,19.29666667,81.78888889,07-04-2021 13:00,8.5
19,Ambabal (Narangi),CWC,22,Chhattisgarh,374,BASTAR,BASTAR,BASTAR,Bhanpuri,Godavari,Godavari,Indravathi,Narangi,-,Narangi,19.29666667,81.78888889,07-04-2021 15:00,4
20,Ambabal (Narangi),CWC,22,Chhattisgarh,374,BASTAR,BASTAR,BASTAR,Bhanpuri,Godavari,Godavari,Indravathi,Narangi,-,Narangi,19.29666667,81.78888889,07-04-2021 16:00,0.5
