record_id,source_document,page_number,section,disaster_phase,hazard_type,responsible_agency,action_type,action_text,keywords,text_clean
SOP_000001,DISMGPLAN_SOP,1,Unknown,General,Multi_Hazard,Not_Explicitly_Specified,General_Procedure,National Disaster Management Plan (NDMP),"disaster, management, national, ndmp, plan",National Disaster Management Plan (NDMP)
SOP_000002,DISMGPLAN_SOP,2,Unknown,General,Multi_Hazard,NDMA,General_Procedure,"National Disaster Management Plan (NDMP) A publication of: National Disaster Management Authority Government of India NDMA Bhawan A-1, Safdarjung Enclave New Delhi – 110 029 May, 2016 When citing this Hand Book, the following citation should be used: National Disaster Management Plan, 2016. A publication of the National Disaster Management Authority, Government of India. May 2016, New Delhi","authority, bhawan, book, citation, citing, delhi, disaster, enclave, following, government, hand, india, management, national, ndma, ndmp, plan, publication, safdarjung, should, used, when","National Disaster Management Plan (NDMP) A publication of: National Disaster Management Authority Government of India NDMA Bhawan A-1, Safdarjung Enclave New Delhi – 110 029 May, 2016 When citing this Hand Book, the following citation should be used: National Disaster Management Plan, 2016. A publication of the National Disaster Management Authority, Government of India. May 2016, New Delhi"
SOP_000003,DISMGPLAN_SOP,3,Unknown,General,Multi_Hazard,Ministry of Home Affairs,General_Procedure,National Disaster Management Plan (NDMP) National Disaster Management Authority Ministry of Home Affairs Government of India May 2016,"affairs, authority, disaster, government, home, india, management, ministry, national, ndmp, plan",National Disaster Management Plan (NDMP) National Disaster Management Authority Ministry of Home Affairs Government of India May 2016
SOP_000004,DISMGPLAN_SOP,7,Unknown,General,General_Disaster,Not_Explicitly_Specified,General_Procedure,"I am happy to note that in the recent years on account of establishment of national and state level institutions and many initiatives including those at the local levels across the country, we have been able to face various natural disaster situations much better than in the past","able, account, across, better, country, disaster, establishment, face, happy, including, initiatives, institutions, level, levels, local, many, much, national, natural, note, past, recent, situations, state, various, years","I am happy to note that in the recent years on account of establishment of national and state level institutions and many initiatives including those at the local levels across the country, we have been able to face various natural disaster situations much better than in the past"
SOP_000005,DISMGPLAN_SOP,7,Unknown,Early_Warning,Cyclone; Multi_Hazard,Not_Explicitly_Specified,Early_Warning,"While natural hazards are beyond our control, our capability to reduce risks, prevent losses, prepare, respond, and recover has improved significantly. We have considerably enhanced our technical capabilities in forecasting and closely monitoring hazards like cyclone. Nevertheless, we still have to strive to make our disaster management system to rank among the very best in the world.","among, best, beyond, capabilities, capability, closely, considerably, control, cyclone, disaster, enhanced, forecasting, hazards, improved, like, losses, make, management, monitoring, natural, nevertheless, prepare, prevent, rank, recover, reduce, respond, risks, significantly, still, strive, system, technical, very, while, world","While natural hazards are beyond our control, our capability to reduce risks, prevent losses, prepare, respond, and recover has improved significantly. We have considerably enhanced our technical capabilities in forecasting and closely monitoring hazards like cyclone. Nevertheless, we still have to strive to make our disaster management system to rank among the very best in the world."
SOP_000006,DISMGPLAN_SOP,7,Unknown,General,Multi_Hazard,NDMA,General_Procedure,"It is a matter of great satisfaction that NDMA has prepared the National Disaster Management Plan - an excellent planning framework for the whole country. India can take pride in fact that we have aligned our National Plan with the Sendai Framework for Disaster Risk Reduction 2015-2030, to which India is a signatory.","aligned, country, disaster, excellent, fact, framework, great, india, management, matter, national, ndma, plan, planning, prepared, pride, reduction, risk, satisfaction, sendai, signatory, take, whole","It is a matter of great satisfaction that NDMA has prepared the National Disaster Management Plan - an excellent planning framework for the whole country. India can take pride in fact that we have aligned our National Plan with the Sendai Framework for Disaster Risk Reduction 2015-2030, to which India is a signatory."
SOP_000007,DISMGPLAN_SOP,7,Unknown,General,General_Disaster,NDMA,General_Procedure,I heartily congratulate the NDMA for preparing a forward-looking National Plan and wish the Authority a grand success in all its future endeavours. MESSAGE,"authority, congratulate, endeavours, forward, future, grand, heartily, looking, message, national, ndma, plan, preparing, success, wish",I heartily congratulate the NDMA for preparing a forward-looking National Plan and wish the Authority a grand success in all its future endeavours. MESSAGE
SOP_000008,DISMGPLAN_SOP,13,Unknown,General,Multi_Hazard,Not_Explicitly_Specified,General_Procedure,"Preparation of a national document such as the National Disaster Management Plan is a mammoth exercise that can only be accomplished through team work that extends beyond the confines of institutions working only on disaster risk management. The national and state level institutions and individuals who have provided inputs to the preparation of this document are numerous. It is not possible to mention all of them. We gratefully acknowledge all of their support, and mention some of the key contributors here.","accomplished, acknowledge, beyond, confines, contributors, disaster, document, exercise, extends, gratefully, here, individuals, inputs, institutions, level, mammoth, management, mention, national, numerous, only, plan, possible, preparation, provided, risk, some, state, support, team, them, through, work, working","Preparation of a national document such as the National Disaster Management Plan is a mammoth exercise that can only be accomplished through team work that extends beyond the confines of institutions working only on disaster risk management. The national and state level institutions and individuals who have provided inputs to the preparation of this document are numerous. It is not possible to mention all of them. We gratefully acknowledge all of their support, and mention some of the key contributors here."
SOP_000009,DISMGPLAN_SOP,13,Unknown,General,Multi_Hazard,NDMA,General_Procedure,"Head of Policy and Planning Division of NDMA Dr. V. Thiruppugazh worked assiduously and led the finalization of the National Disaster Management Plan. Under his guidance the Plan was thoroughly revised and aligned with the Sendai Framework for Disaster Risk Reduction. He was ably supported by Nawal Prakash, Senior Research Officer of NDMA who coordinated inputs from a range of institutions and individuals. Valuable technical assistance was provided by Dr. Geevan P Chandanathil and Shri. Birju Patel in distilling inputs from secondary sources and making the Plan concise and accessible. UNNATI provided technical support for the first draft of the revised plan. Joint Secretaries, staff and consultants of NDMA provided specific inputs to different sections of the document.","ably, accessible, aligned, assiduously, assistance, birju, chandanathil, concise, consultants, coordinated, different, disaster, distilling, division, document, draft, finalization, first, framework, geevan, guidance, head, individuals, inputs, institutions, joint, making, management, national, nawal, ndma, officer, patel, plan, planning, policy, prakash, provided, range, reduction, research, revised, risk, secondary, secretaries, sections, sendai, senior, shri, sources, specific, staff, support, supported, technical, thiruppugazh, thoroughly, under, unnati, valuable, worked","Head of Policy and Planning Division of NDMA Dr. V. Thiruppugazh worked assiduously and led the finalization of the National Disaster Management Plan. Under his guidance the Plan was thoroughly revised and aligned with the Sendai Framework for Disaster Risk Reduction. He was ably supported by Nawal Prakash, Senior Research Officer of NDMA who coordinated inputs from a range of institutions and individuals. Valuable technical assistance was provided by Dr. Geevan P Chandanathil and Shri. Birju Patel in distilling inputs from secondary sources and making the Plan concise and accessible. UNNATI provided technical support for the first draft of the revised plan. Joint Secretaries, staff and consultants of NDMA provided specific inputs to different sections of the document."
SOP_000010,DISMGPLAN_SOP,13,Unknown,Response,Multi_Hazard,Ministry of Home Affairs; State Government,General_Procedure,"Valuable inputs were received from the National Institute of Disaster Management, National Disaster Response Force, and the Disaster Management Division of the Ministry of Home Affairs. In addition, a number of other Ministries and Departments of Government of India, and several State governments provided timely feedback and suggestions on different sections of the Plan. It draws on a large number of documents, guidelines, manuals and records. We acknowledge the contribution of the authors of all such reference documents.","acknowledge, addition, affairs, authors, contribution, departments, different, disaster, division, documents, draws, feedback, force, government, governments, guidelines, home, india, inputs, institute, large, management, manuals, ministries, ministry, national, number, other, plan, provided, received, records, reference, response, sections, several, state, suggestions, timely, valuable, were","Valuable inputs were received from the National Institute of Disaster Management, National Disaster Response Force, and the Disaster Management Division of the Ministry of Home Affairs. In addition, a number of other Ministries and Departments of Government of India, and several State governments provided timely feedback and suggestions on different sections of the Plan. It draws on a large number of documents, guidelines, manuals and records. We acknowledge the contribution of the authors of all such reference documents."
