incident_id,timestamp,state,district,zone,call_type,text,severity,hazard_type
ERSS-000001,2026-02-20 02:39:00,West Bengal,Darjeeling,ZONE-4,Flooding,"Flooding reported near the industrial area in Darjeeling, West Bengal. 8 people affected, minor injuries reported. Dispatch requested for rescue boat.",MEDIUM,FLOOD
ERSS-000002,2025-01-25 20:59:00,Kerala,Thrissur,ZONE-1,Road Blockage,"Road blockage reported near the bus stand in Thrissur, Kerala. 32 people trapped/affected, multiple injuries reported, urgent evacuation needed. Dispatch requested for traffic police team.",CRITICAL,FLOOD
ERSS-000003,2025-07-13 07:03:00,Karnataka,Mysuru,ZONE-5,Flooding,"Flooding reported in the hilly terrain in Mysuru, Karnataka. 3 people affected, minor injuries reported. Dispatch requested for life jackets.",MEDIUM,FLOOD
ERSS-000004,2025-02-03 21:21:00,Maharashtra,Pune,ZONE-2,Rescue,"Rescue operation required in the riverside settlement in Pune, Maharashtra. 1 person(s) affected, no major injuries reported. Dispatch requested for NDRF rescue team.",LOW,FLOOD
ERSS-000005,2025-01-12 19:47:00,Karnataka,Mangaluru,ZONE-5,Road Blockage,"Road blockage reported close to the river bank in Mangaluru, Karnataka. 16 people affected including elderly and children, some injuries reported. Dispatch requested for traffic police team.",HIGH,FLOOD
ERSS-000006,2025-01-04 01:39:00,Assam,Guwahati,ZONE-2,Flooding,"Flooding reported in the riverside settlement in Guwahati, Assam. 11 people affected including elderly and children, some injuries reported. Dispatch requested for life jackets.",HIGH,FLOOD
ERSS-000007,2025-09-05 11:13:00,Gujarat,Bharuch,ZONE-1,Waterlogging,"Waterlogging reported in the hilly terrain in Bharuch, Gujarat. 2 person(s) affected, no major injuries reported. Dispatch requested for drainage team and water pump.",LOW,FLOOD
ERSS-000008,2026-01-10 21:12:00,West Bengal,Kolkata,ZONE-3,Flooding,"Flooding reported in the riverside settlement in Kolkata, West Bengal. 4 people affected, minor injuries reported. Dispatch requested for rescue boat.",MEDIUM,FLOOD
ERSS-000009,2025-09-11 09:45:00,Tamil Nadu,Tiruppur,ZONE-5,Flooding,"Flooding reported in the hilly terrain in Tiruppur, Tamil Nadu. 12 people affected including elderly and children, some injuries reported. Dispatch requested for water pump.",HIGH,FLOOD
ERSS-000010,2026-02-17 19:27:00,West Bengal,Kolkata,ZONE-1,Flooding,"Flooding reported on the national highway in Kolkata, West Bengal. 9 people affected including elderly and children, some injuries reported. Dispatch requested for water pump.",HIGH,FLOOD
ERSS-000011,2026-01-25 16:29:00,West Bengal,Howrah,ZONE-3,Rescue,"Rescue operation required close to the river bank in Howrah, West Bengal. 13 people affected including elderly and children, some injuries reported. Dispatch requested for NDRF rescue team.",HIGH,FLOOD
ERSS-000012,2025-02-15 14:47:00,West Bengal,Murshidabad,ZONE-1,Flooding,"Flooding reported in the old town area in Murshidabad, West Bengal. 12 people affected including elderly and children, some injuries reported. Dispatch requested for life jackets.",HIGH,FLOOD
