pair_id,split,priority,chk_priority,chk_zone,chk_district,chk_state,chk_headcount,chk_entry_count,chk_hazard,chk_location,all_pass,summary_preview
SLM-000001,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT: medical emergencies and rescue emergencies plus 2 more, ZONE-5 Kottayam, Kerala. 7 reports, 115 affected. Deploy"
SLM-000002,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE. road blockages and rescue emergencies plus 2 more in ZONE-1 Kanpur, Uttar Pradesh; 154 affected, 6 reports. D"
SLM-000003,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT: ZONE-1 Prayagraj, Uttar Pradesh -- medical emergencies and rescue emergencies plus 2 more. 7 reports, 51 affecte"
SLM-000004,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT: ZONE-2 Muzaffarpur, Bihar -- flooding and medical emergencies plus 2 more. 6 reports, 73 affected. Deploy water "
SLM-000005,train,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED: flooding and rescue emergencies plus 2 more, ZONE-1 Madurai, Tamil Nadu. 8 reports, 55 affected. drainage team"
SLM-000006,train,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED: road blockages and medical emergencies plus 2 more, ZONE-3 Nagpur, Maharashtra. 5 reports, 41 affected. Send w"
SLM-000007,train,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED: flooding and medical emergencies plus 2 more, ZONE-2 Nagpur, Maharashtra. 7 reports, 54 affected. Deploy water"
SLM-000008,train,IMMEDIATE,True,True,True,True,True,True,True,True,True,"IMMEDIATE: ZONE-4 Bhagalpur, Bihar -- flooding and rescue emergencies. 5 reports, 123 affected. Dispatch life jackets an"
SLM-000009,train,ELEVATED,True,True,True,True,True,True,True,True,True,"ELEVATED - ZONE-2 Thrissur (Kerala): flooding and rescue emergencies, 67 affected across 7 reports. Dispatch rescue boat"
SLM-000010,train,URGENT,True,True,True,True,True,True,True,True,True,"URGENT: flooding and rescue emergencies plus 2 more, ZONE-5 Pune, Maharashtra. 6 reports, 178 affected. Dispatch water p"
