pair_id,zone_present,district_present,state_present,location_present,hazard_present,headcount_present,headcount_correct,content_slots_preserved,mismatches
SLM-000014,True,True,True,True,True,True,True,True,None
SLM-000020,True,True,True,False,True,True,True,False,None
SLM-000031,True,True,True,False,True,True,True,False,None
SLM-000039,True,True,True,False,True,True,True,False,None
SLM-000041,True,True,True,False,True,True,True,False,None
SLM-000046,True,True,True,False,True,True,True,False,None
SLM-000050,True,True,True,False,True,True,True,False,None
SLM-000052,True,True,True,False,True,True,True,False,None
SLM-000059,True,True,True,False,True,True,True,False,None
SLM-000069,True,True,True,False,True,True,True,False,None
SLM-000083,True,True,True,False,True,True,True,False,None
SLM-000095,True,True,True,True,True,True,True,True,None
SLM-000100,True,True,True,True,True,True,True,True,None
SLM-000103,True,True,True,False,True,True,True,False,None
SLM-000115,True,True,True,False,True,True,True,False,None
SLM-000122,True,True,True,False,True,True,True,False,None
SLM-000125,True,True,True,False,False,True,True,False,None
SLM-000129,True,True,True,False,True,True,True,False,None
SLM-000133,True,True,True,False,True,True,True,False,None
SLM-000144,True,True,True,True,True,True,True,True,None
SLM-000149,True,True,True,False,True,True,True,False,None
SLM-000158,True,True,True,False,True,True,True,False,None
SLM-000170,True,True,True,False,True,True,True,False,None
SLM-000187,True,True,True,False,True,True,True,False,None
SLM-000199,True,True,True,True,True,True,True,True,None
SLM-000206,True,True,True,True,True,True,True,True,None
SLM-000212,True,True,True,False,True,True,True,False,None
SLM-000223,True,True,True,False,True,True,True,False,None
SLM-000234,True,True,True,False,True,True,True,False,None
SLM-000255,True,True,True,False,True,True,True,False,None
SLM-000269,True,True,True,False,True,True,True,False,None
SLM-000287,True,True,True,False,True,True,True,False,None
SLM-000291,True,True,True,True,True,True,True,True,None
SLM-000297,True,True,True,True,True,True,True,True,None
SLM-000303,True,True,True,False,True,True,True,False,None
SLM-000306,True,True,True,True,True,True,True,True,None
SLM-000321,True,True,True,False,True,True,True,False,None
SLM-000332,True,True,True,True,True,True,True,True,None
SLM-000334,True,True,True,False,True,True,True,False,None
SLM-000336,True,True,True,False,True,True,True,False,None
SLM-000340,True,True,True,True,True,True,True,True,None
SLM-000346,True,True,True,False,True,True,True,False,None
SLM-000354,True,True,True,False,True,True,True,False,None
SLM-000371,True,True,True,True,True,True,True,True,None
SLM-000382,True,True,True,True,True,True,True,True,None
SLM-000394,True,True,True,False,True,True,True,False,None
SLM-000397,True,True,True,True,True,True,True,True,None
SLM-000400,True,True,True,True,True,True,True,True,None
SLM-000402,True,True,True,True,True,True,True,True,None
SLM-000409,True,True,True,False,True,True,True,False,None
SLM-000414,True,True,True,True,True,True,True,True,None
SLM-000426,True,True,True,True,True,True,True,True,None
SLM-000430,True,True,True,False,True,True,True,False,None
SLM-000437,True,True,True,False,True,True,True,False,None
SLM-000440,True,True,True,False,True,True,True,False,None
SLM-000461,True,True,True,False,True,True,True,False,None
SLM-000471,True,True,True,True,True,True,True,True,None
SLM-000477,True,True,True,False,True,True,True,False,None
SLM-000479,True,True,True,False,True,True,True,False,None
SLM-000497,True,True,True,False,True,True,True,False,None
SLM-000499,True,True,True,False,True,True,True,False,None
SLM-000500,True,True,True,False,True,True,True,False,None
SLM-000501,True,True,True,False,True,True,True,False,None
SLM-000511,True,True,True,True,True,True,True,True,None
SLM-000517,True,True,True,False,True,True,True,False,None
SLM-000535,True,True,True,True,True,True,True,True,None
SLM-000540,True,True,True,False,True,True,True,False,None
SLM-000541,True,True,True,False,True,True,True,False,None
SLM-000545,True,True,True,False,True,True,True,False,None
SLM-000546,True,True,True,False,True,True,True,False,None
SLM-000560,True,True,True,False,True,True,True,False,None
SLM-000571,True,True,True,True,True,True,True,True,None
SLM-000589,True,True,True,False,True,True,True,False,None
SLM-000593,True,True,True,True,True,True,True,True,None
SLM-000600,True,True,True,False,True,True,True,False,None
SLM-000605,True,True,True,False,True,True,True,False,None
SLM-000610,True,True,True,True,True,True,True,True,None
SLM-000616,True,True,True,True,True,True,True,True,None
SLM-000617,True,True,True,False,True,True,True,False,None
SLM-000621,True,True,True,False,True,True,True,False,None
SLM-000625,True,True,True,False,True,True,True,False,None
SLM-000633,True,True,True,False,True,True,True,False,None
SLM-000655,True,True,True,False,True,True,True,False,None
SLM-000658,True,True,True,False,True,True,True,False,None
SLM-000661,True,True,True,True,True,True,True,True,None
SLM-000665,True,True,True,False,True,True,True,False,None
SLM-000668,True,True,True,False,True,True,True,False,None
SLM-000672,True,True,True,True,True,True,True,True,None
SLM-000679,True,True,True,False,True,True,True,False,None
SLM-000684,True,True,True,False,True,True,True,False,None
SLM-000686,True,True,True,False,True,True,True,False,None
SLM-000691,True,True,True,False,True,True,True,False,None
SLM-000707,True,True,True,True,True,True,True,True,None
SLM-000728,True,True,True,False,True,True,True,False,None
SLM-000734,True,True,True,False,True,True,True,False,None
SLM-000737,True,True,True,False,True,True,True,False,None
SLM-000743,True,True,True,True,True,True,True,True,None
SLM-000747,True,True,True,False,True,True,True,False,None
SLM-000761,True,True,True,False,True,True,True,False,None
SLM-000774,True,True,True,True,True,True,True,True,None
SLM-000778,True,True,True,False,True,True,True,False,None
SLM-000797,True,True,True,False,True,True,True,False,None
SLM-000804,True,True,True,False,True,True,True,False,None
SLM-000806,True,True,True,False,True,True,True,False,None
SLM-000821,True,True,True,False,True,True,True,False,None
SLM-000824,True,True,True,True,True,True,True,True,None
SLM-000829,True,True,True,False,True,True,True,False,None
SLM-000834,True,True,True,False,True,True,True,False,None
SLM-000845,True,True,True,False,True,True,True,False,None
SLM-000848,True,True,True,False,True,True,True,False,None
SLM-000849,True,True,True,False,True,True,True,False,None
SLM-000860,True,True,True,False,True,True,True,False,None
SLM-000867,True,True,True,False,True,True,True,False,None
SLM-000882,True,True,True,False,True,True,True,False,None
SLM-000886,True,True,True,True,True,True,True,True,None
SLM-000893,True,True,True,True,True,True,True,True,None
SLM-000896,True,True,True,False,True,True,True,False,None
SLM-000899,True,True,True,True,True,True,True,True,None
SLM-000905,True,True,True,False,True,True,True,False,None
SLM-000915,True,True,True,True,True,True,True,True,None
SLM-000916,True,True,True,False,True,True,True,False,None
SLM-000920,True,True,True,True,True,True,True,True,None
SLM-000932,True,True,True,False,True,True,True,False,None
SLM-000935,True,True,True,True,True,True,True,True,None
SLM-000936,True,True,True,False,True,True,True,False,None
SLM-000937,True,True,True,True,True,True,True,True,None
SLM-000948,True,True,True,False,True,True,True,False,None
SLM-000951,True,True,True,False,True,True,True,False,None
SLM-000954,True,True,True,False,True,True,True,False,None
SLM-000956,True,True,True,False,True,True,True,False,None
SLM-000961,True,True,True,True,True,True,True,True,None
SLM-000962,True,True,True,True,True,True,True,True,None
SLM-000963,True,True,True,False,True,True,True,False,None
SLM-000967,True,True,True,False,True,True,True,False,None
SLM-000993,True,True,True,False,True,True,True,False,None
SLM-000995,True,True,True,False,True,True,True,False,None
SLM-000999,True,True,True,False,True,True,True,False,None
SLM-001005,True,True,True,False,True,True,True,False,None
SLM-001008,True,True,True,False,True,True,True,False,None
SLM-001013,True,True,True,True,True,True,True,True,None
SLM-001015,True,True,True,False,True,True,True,False,None
SLM-001020,True,True,True,False,True,True,True,False,None
SLM-001024,True,True,True,False,True,True,True,False,None
SLM-001034,True,True,True,False,True,True,True,False,None
SLM-001036,True,True,True,False,True,True,True,False,None
SLM-001043,True,True,True,True,True,True,True,True,None
SLM-001055,True,True,True,False,True,True,True,False,None
SLM-001056,True,True,True,True,True,True,True,True,None
SLM-001059,True,True,True,False,True,True,True,False,None
SLM-001060,True,True,True,False,True,True,True,False,None
SLM-001061,True,True,True,True,True,True,True,True,None
SLM-001062,True,True,True,True,True,True,True,True,None
SLM-001066,True,True,True,False,True,True,True,False,None
SLM-001070,True,True,True,False,True,True,True,False,None
SLM-001073,True,True,True,False,True,True,True,False,None
SLM-001078,True,True,True,False,True,True,True,False,None
SLM-001082,True,True,True,False,True,True,True,False,None
SLM-001083,True,True,True,False,True,True,True,False,None
SLM-001085,True,True,True,False,True,True,True,False,None
SLM-001096,True,True,True,False,True,True,True,False,None
SLM-001097,True,True,True,False,True,True,True,False,None
SLM-001099,True,True,True,False,True,True,True,False,None
SLM-001103,True,True,True,False,True,True,True,False,None
SLM-001114,True,True,True,False,True,True,True,False,None
SLM-001126,True,True,True,False,True,True,True,False,None
SLM-001136,True,True,True,False,True,True,True,False,None
SLM-001147,True,True,True,True,True,True,True,True,None
SLM-001154,True,True,True,False,True,True,True,False,None
SLM-001155,True,True,True,False,True,True,True,False,None
SLM-001156,True,True,True,False,True,True,True,False,None
SLM-001161,True,True,True,False,True,True,True,False,None
SLM-001176,True,True,True,False,True,True,True,False,None
SLM-001187,True,True,True,False,True,True,True,False,None
SLM-001201,True,True,True,True,True,True,True,True,None
SLM-001202,True,True,True,False,True,True,True,False,None
SLM-001207,True,True,True,False,True,True,True,False,None
SLM-001214,True,True,True,False,True,True,True,False,None
SLM-001217,True,True,True,False,True,True,True,False,None
SLM-001219,True,True,True,False,True,True,True,False,None
SLM-001238,True,True,True,True,True,True,True,True,None
SLM-001261,True,True,True,False,True,True,True,False,None
SLM-001277,True,True,True,True,True,True,True,True,None
SLM-001279,True,True,True,False,True,True,True,False,None
SLM-001283,True,True,True,True,True,True,True,True,None
SLM-001284,True,True,True,False,True,True,True,False,None
SLM-001293,True,True,True,True,True,True,True,True,None
SLM-001304,True,True,True,False,True,True,True,False,None
SLM-001306,True,True,True,False,True,True,True,False,None
