pair_id,hallucination_rate,predicted_entities,unsupported_count,unsupported_tokens
SLM-000014,0.2222,9,2,conditions; 60
SLM-000020,0.4444,9,4,30; 10; 304; failure
SLM-000031,0.2857,7,2,full; every
SLM-000039,0.3333,9,3,conditions; 15; 60
SLM-000041,0.375,8,3,full; 83; every
SLM-000046,0.2222,9,2,203; failure
SLM-000050,0.4286,7,3,full; 81; every
SLM-000052,0.375,8,3,30; conditions; 60
SLM-000059,0.4,10,4,30; 133; failure; 15
SLM-000069,0.2222,9,2,30; conditions
SLM-000083,0.4286,7,3,full; every; 144
SLM-000095,0.4286,7,3,full; 174; every
SLM-000100,0.4286,7,3,full; 97; every
SLM-000103,0.4286,7,3,full; 126; every
SLM-000115,0.3333,9,3,10; 90; failure
SLM-000122,0.375,8,3,full; 163; every
SLM-000125,0.5714,7,4,30; conditions; 11; 60
SLM-000129,0.4286,7,3,full; 137; every
SLM-000133,0.5,6,3,full; 217; every
SLM-000144,0.25,8,2,conditions; 74
SLM-000149,0.375,8,3,full; every; 172
SLM-000158,0.4444,9,4,10; 49; 15; failure
SLM-000170,0.3333,9,3,30; conditions; 60
SLM-000187,0.3333,9,3,30; 35; conditions
SLM-000199,0.5556,9,5,30; 10; 126; 15; failure
SLM-000206,0.375,8,3,conditions; 46; 60
SLM-000212,0.2,10,2,90; failure
SLM-000223,0.4286,7,3,30; conditions; 60
SLM-000234,0.5,8,4,30; 31; conditions; 60
SLM-000255,0.4286,7,3,full; 130; every
SLM-000269,0.5556,9,5,30; 10; 66; failure; 15
SLM-000287,0.4286,7,3,full; 65; every
SLM-000291,0.5,8,4,30; 66; conditions; 60
SLM-000297,0.375,8,3,30; conditions; 60
SLM-000303,0.375,8,3,30; conditions; 60
SLM-000306,0.4286,7,3,full; 219; every
SLM-000321,0.2222,9,2,240; failure
SLM-000332,0.3333,6,2,full; every
SLM-000334,0.3333,9,3,180; failure; 15
SLM-000336,0.375,8,3,30; conditions; 60
SLM-000340,0.375,8,3,conditions; 65; 60
SLM-000346,0.5,8,4,30; conditions; 37; 60
SLM-000354,0.375,8,3,22; conditions; 60
SLM-000371,0.375,8,3,51; conditions; 60
SLM-000382,0.5556,9,5,30; 10; 15; 127; failure
SLM-000394,0.4,10,4,30; 10; failure; 15
SLM-000397,0.375,8,3,conditions; 24; 60
SLM-000400,0.4444,9,4,30; conditions; 71; 60
SLM-000402,0.3333,9,3,conditions; 135; 60
SLM-000409,0.4286,7,3,full; 175; every
SLM-000414,0.5,8,4,30; 188; conditions; 60
SLM-000426,0.2222,9,2,30; failure
SLM-000430,0.375,8,3,30; conditions; 60
SLM-000437,0.2857,7,2,conditions; 60
SLM-000440,0.5714,7,4,30; 53; conditions; 60
SLM-000461,0.5,8,4,43; 30; conditions; 60
SLM-000471,0.5556,9,5,30; 10; 15; 56; failure
SLM-000477,0.25,8,2,full; every
SLM-000479,0.25,8,2,conditions; 60
SLM-000497,0.4,10,4,30; failure; 15; 155
SLM-000499,0.5,8,4,30; conditions; 56; 60
SLM-000500,0.4286,7,3,full; 168; every
SLM-000501,0.375,8,3,full; every; 194
SLM-000511,0.4286,7,3,full; 168; every
SLM-000517,0.375,8,3,41; 30; conditions
SLM-000535,0.25,8,2,conditions; 62
SLM-000540,0.375,8,3,conditions; 32; 60
SLM-000541,0.375,8,3,conditions; 44; 60
SLM-000545,0.375,8,3,30; conditions; 60
SLM-000546,0.3333,9,3,30; conditions; 60
SLM-000560,0.2222,9,2,failure; 194
SLM-000571,0.3333,9,3,15; 181; failure
SLM-000589,0.375,8,3,full; 158; every
SLM-000593,0.25,8,2,57; conditions
SLM-000600,0.4286,7,3,full; 148; every
SLM-000605,0.4286,7,3,full; 166; every
SLM-000610,0.3333,9,3,30; conditions; 60
SLM-000616,0.25,8,2,conditions; 60
SLM-000617,0.25,8,2,conditions; 60
SLM-000621,0.4286,7,3,full; 176; every
SLM-000625,0.375,8,3,30; conditions; 45
SLM-000633,0.2,10,2,364; failure
SLM-000655,0.3333,9,3,10; 110; failure
SLM-000658,0.5,10,5,30; 10; 119; 15; failure
SLM-000661,0.375,8,3,conditions; 37; 60
SLM-000665,0.375,8,3,59; conditions; 60
SLM-000668,0.25,8,2,30; conditions
SLM-000672,0.25,8,2,conditions; 60
SLM-000679,0.3333,9,3,136; 30; failure
SLM-000684,0.4,10,4,30; 10; 96; failure
SLM-000686,0.4286,7,3,89; full; every
SLM-000691,0.4,10,4,30; 10; failure; 106
SLM-000707,0.4444,9,4,30; 10; 88; failure
SLM-000728,0.4286,7,3,full; 103; every
SLM-000734,0.4444,9,4,30; 15; failure; 106
SLM-000737,0.4444,9,4,10; 15; failure; 73
SLM-000743,0.375,8,3,30; conditions; 127
SLM-000747,0.375,8,3,30; 66; conditions
SLM-000761,0.3333,9,3,200; 15; failure
SLM-000774,0.4286,7,3,full; 134; every
SLM-000778,0.375,8,3,full; 170; every
SLM-000797,0.4286,7,3,full; every; 98
SLM-000804,0.5,8,4,41; 30; conditions; 60
SLM-000806,0.5556,9,5,30; 10; 108; 15; failure
SLM-000821,0.4444,9,4,30; 10; 122; failure
SLM-000824,0.375,8,3,full; 176; every
SLM-000829,0.2222,9,2,conditions; 60
SLM-000834,0.375,8,3,full; 118; every
SLM-000845,0.2222,9,2,153; failure
SLM-000848,0.25,8,2,full; every
SLM-000849,0.2,10,2,failure; 107
SLM-000860,0.4286,7,3,full; 191; every
SLM-000867,0.4286,7,3,full; 141; every
SLM-000882,0.4286,7,3,112; full; every
SLM-000886,0.2857,7,2,full; every
SLM-000893,0.5,8,4,30; conditions; 76; 60
SLM-000896,0.375,8,3,30; conditions; 69
SLM-000899,0.2857,7,2,full; every
SLM-000905,0.4,10,4,159; 30; 15; failure
SLM-000915,0.4444,9,4,10; 67; 15; failure
SLM-000916,0.5714,7,4,30; conditions; 17; 60
SLM-000920,0.375,8,3,conditions; 16; 60
SLM-000932,0.3,10,3,failure; 15; 70
SLM-000935,0.25,8,2,conditions; 60
SLM-000936,0.5,10,5,30; 10; 15; 120; failure
SLM-000937,0.2,10,2,251; failure
SLM-000948,0.2222,9,2,conditions; 60
SLM-000951,0.3333,6,2,15; 60
SLM-000954,0.5556,9,5,178; 30; 10; 15; failure
SLM-000956,0.4444,9,4,30; 10; 171; failure
SLM-000961,0.3333,9,3,109; 30; failure
SLM-000962,0.2222,9,2,30; conditions
SLM-000963,0.3333,9,3,conditions; 19; 60
SLM-000967,0.4444,9,4,30; 10; 125; failure
SLM-000993,0.375,8,3,full; 81; every
SLM-000995,0.125,8,1,conditions
SLM-000999,0.5,6,3,full; 210; every
SLM-001005,0.3333,9,3,conditions; 38; 60
SLM-001008,0.375,8,3,conditions; 75; 60
SLM-001013,0.375,8,3,57; conditions; 60
SLM-001015,0.25,8,2,conditions; 60
SLM-001020,0.375,8,3,30; conditions; 60
SLM-001024,0.25,8,2,conditions; 75
SLM-001034,0.5,8,4,30; 10; 15; failure
SLM-001036,0.5556,9,5,111; 30; 10; 15; failure
SLM-001043,0.375,8,3,conditions; 60; 63
SLM-001055,0.2,10,2,failure; 120
SLM-001056,0.4286,7,3,full; 252; every
SLM-001059,0.375,8,3,30; 33; conditions
SLM-001060,0.375,8,3,30; conditions; 76
SLM-001061,0.2857,7,2,full; every
SLM-001062,0.375,8,3,conditions; 60; 70
SLM-001066,0.5,8,4,30; 55; conditions; 60
SLM-001070,0.3333,9,3,55; conditions; 60
SLM-001073,0.4444,9,4,30; 10; 26; failure
SLM-001078,0.375,8,3,30; conditions; 73
SLM-001082,0.5,8,4,30; 55; conditions; 60
SLM-001083,0.5,8,4,30; 39; conditions; 60
SLM-001085,0.4286,7,3,full; 191; every
SLM-001096,0.4286,7,3,full; 86; every
SLM-001097,0.4286,7,3,full; 187; every
SLM-001099,0.375,8,3,full; 107; every
SLM-001103,0.5714,7,4,30; conditions; 74; 60
SLM-001114,0.4,10,4,139; 30; 10; failure
SLM-001126,0.5,8,4,30; 59; conditions; 60
SLM-001136,0.25,8,2,30; conditions
SLM-001147,0.3333,9,3,131; 30; failure
SLM-001154,0.5,10,5,30; 10; 19; 15; failure
SLM-001155,0.375,8,3,257; full; every
SLM-001156,0.2222,9,2,97; failure
SLM-001161,0.3333,9,3,30; conditions; 60
SLM-001176,0.4286,7,3,full; 107; every
SLM-001187,0.375,8,3,30; conditions; 60
SLM-001201,0.2222,9,2,59; failure
SLM-001202,0.4286,7,3,30; conditions; 60
SLM-001207,0.3333,9,3,10; failure; 129
SLM-001214,0.4,10,4,30; 15; 152; failure
SLM-001217,0.375,8,3,full; 133; every
SLM-001219,0.4286,7,3,161; full; every
SLM-001238,0.375,8,3,30; conditions; 60
SLM-001261,0.4286,7,3,full; 140; every
SLM-001277,0.4286,7,3,30; conditions; 60
SLM-001279,0.375,8,3,30; 85; conditions
SLM-001283,0.375,8,3,conditions; 56; 60
SLM-001284,0.4444,9,4,30; conditions; 60; 156
SLM-001293,0.5,8,4,30; conditions; 42; 60
SLM-001304,0.4286,7,3,full; 181; every
SLM-001306,0.4444,9,4,30; 10; failure; 118
SLM-001313,0.3333,9,3,103; conditions; 60
SLM-001314,0.4444,9,4,109; 10; 15; failure
SLM-001317,0.4444,9,4,10; 15; 127; failure
SLM-001332,0.375,8,3,full; every; 77
SLM-001334,0.4286,7,3,full; 141; every
SLM-001341,0.4286,7,3,full; 135; every
SLM-001351,0.4444,9,4,30; conditions; 83; 60
SLM-001353,0.4444,9,4,30; 15; 121; failure
SLM-001371,0.4286,7,3,full; 65; every
SLM-001383,0.375,8,3,conditions; 143; 60
SLM-001397,0.3333,9,3,58; 30; conditions
SLM-001406,0.375,8,3,30; conditions; 60
SLM-001410,0.25,8,2,conditions; 81
SLM-001414,0.3333,9,3,10; 130; failure
SLM-001430,0.4444,9,4,30; 80; 15; failure
SLM-001438,0.375,8,3,30; conditions; 60
SLM-001445,0.4286,7,3,full; 180; every
SLM-001452,0.3333,9,3,10; 150; failure
SLM-001458,0.4286,7,3,full; 187; every
SLM-001462,0.5714,7,4,30; 59; conditions; 60
SLM-001469,0.4444,9,4,30; conditions; 83; 60
SLM-001474,0.375,8,3,30; conditions; 60
SLM-001485,0.375,8,3,conditions; 60; 12
SLM-001487,0.375,8,3,30; conditions; 32
SLM-001500,0.4286,7,3,full; 238; every
SLM-001509,0.25,8,2,conditions; 73
SLM-001510,0.4286,7,3,full; 211; every
SLM-001514,0.4444,9,4,30; 37; 15; failure
SLM-001523,0.375,8,3,30; conditions; 60
SLM-001526,0.5556,9,5,30; 10; 15; failure; 162
SLM-001529,0.4286,7,3,full; 100; every
SLM-001551,0.375,8,3,126; conditions; 60
SLM-001556,0.1111,9,1,failure
SLM-001559,0.375,8,3,full; 88; every
SLM-001560,0.5,8,4,30; conditions; 60; 69
