pair_id,true_priority,pred_priority,inaction_detected,missing_escalation,safety_fail
SLM-000014,ROUTINE,ELEVATED,False,False,False
SLM-000020,IMMEDIATE,URGENT,False,False,False
SLM-000031,IMMEDIATE,IMMEDIATE,False,False,False
SLM-000039,ROUTINE,ELEVATED,False,False,False
SLM-000041,IMMEDIATE,IMMEDIATE,False,False,False
SLM-000046,URGENT,URGENT,False,False,False
SLM-000050,URGENT,IMMEDIATE,False,False,False
SLM-000052,ROUTINE,ELEVATED,False,False,False
SLM-000059,URGENT,URGENT,False,False,False
SLM-000069,ELEVATED,ELEVATED,False,False,False
SLM-000083,URGENT,IMMEDIATE,False,False,False
SLM-000095,IMMEDIATE,IMMEDIATE,False,False,False
SLM-000100,IMMEDIATE,IMMEDIATE,False,False,False
SLM-000103,IMMEDIATE,IMMEDIATE,False,False,False
SLM-000115,URGENT,URGENT,False,False,False
SLM-000122,IMMEDIATE,IMMEDIATE,False,False,False
SLM-000125,ROUTINE,ELEVATED,False,False,False
SLM-000129,IMMEDIATE,IMMEDIATE,False,False,False
SLM-000133,IMMEDIATE,IMMEDIATE,False,False,False
SLM-000144,ELEVATED,ELEVATED,False,False,False
SLM-000149,IMMEDIATE,IMMEDIATE,False,False,False
SLM-000158,ELEVATED,URGENT,False,False,False
SLM-000170,ROUTINE,ELEVATED,False,False,False
SLM-000187,ELEVATED,ELEVATED,False,False,False
SLM-000199,IMMEDIATE,URGENT,False,False,False
SLM-000206,ELEVATED,ELEVATED,False,False,False
SLM-000212,URGENT,URGENT,False,False,False
SLM-000223,ELEVATED,ELEVATED,False,False,False
SLM-000234,ROUTINE,ELEVATED,False,False,False
SLM-000255,URGENT,IMMEDIATE,False,False,False
SLM-000269,URGENT,URGENT,False,False,False
SLM-000287,URGENT,IMMEDIATE,False,False,False
SLM-000291,ELEVATED,ELEVATED,False,False,False
SLM-000297,ELEVATED,ELEVATED,False,False,False
SLM-000303,ELEVATED,ELEVATED,False,False,False
