term,category,shorthand,expansion,definition,example_usage,origin
water pump,Resource,RES-WP,Water Pump,"Response resource requested in dispatcher logs; appears 9,432 times in the Stage 03 corpus.",Dispatch water pump to the affected location.,derived from Stage 03 corpus
ambulance,Resource,RES-AMBU,Ambulance,"Response resource requested in dispatcher logs; appears 6,899 times in the Stage 03 corpus.",Dispatch ambulance to the affected location.,derived from Stage 03 corpus
relief supplies,Resource,RES-RS,Relief Supplies,"Response resource requested in dispatcher logs; appears 5,681 times in the Stage 03 corpus.",Dispatch relief supplies to the affected location.,derived from Stage 03 corpus
NDRF flood rescue team,Resource,RES-NFRT,Ndrf Flood Rescue Team,"Response resource requested in dispatcher logs; appears 5,643 times in the Stage 03 corpus.",Dispatch NDRF flood rescue team to the affected location.,derived from Stage 03 corpus
rescue boat,Resource,RES-RB,Rescue Boat,"Response resource requested in dispatcher logs; appears 5,641 times in the Stage 03 corpus.",Dispatch rescue boat to the affected location.,derived from Stage 03 corpus
life jackets,Resource,RES-LJ,Life Jackets,"Response resource requested in dispatcher logs; appears 5,535 times in the Stage 03 corpus.",Dispatch life jackets to the affected location.,derived from Stage 03 corpus
rescue rope and ladder,Resource,RES-RRAL,Rescue Rope And Ladder,"Response resource requested in dispatcher logs; appears 5,138 times in the Stage 03 corpus.",Dispatch rescue rope and ladder to the affected location.,derived from Stage 03 corpus
NDRF rescue team,Resource,RES-NRT,Ndrf Rescue Team,"Response resource requested in dispatcher logs; appears 5,054 times in the Stage 03 corpus.",Dispatch NDRF rescue team to the affected location.,derived from Stage 03 corpus
fire and rescue unit,Resource,RES-FARU,Fire And Rescue Unit,"Response resource requested in dispatcher logs; appears 4,976 times in the Stage 03 corpus.",Dispatch fire and rescue unit to the affected location.,derived from Stage 03 corpus
road clearance team,Resource,RES-RCT,Road Clearance Team,"Response resource requested in dispatcher logs; appears 3,637 times in the Stage 03 corpus.",Dispatch road clearance team to the affected location.,derived from Stage 03 corpus
drainage team,Resource,RES-DT,Drainage Team,"Response resource requested in dispatcher logs; appears 3,595 times in the Stage 03 corpus.",Dispatch drainage team to the affected location.,derived from Stage 03 corpus
sandbags,Resource,RES-SAND,Sandbags,"Response resource requested in dispatcher logs; appears 3,535 times in the Stage 03 corpus.",Dispatch sandbags to the affected location.,derived from Stage 03 corpus
tow truck,Resource,RES-TT,Tow Truck,"Response resource requested in dispatcher logs; appears 2,444 times in the Stage 03 corpus.",Dispatch tow truck to the affected location.,derived from Stage 03 corpus
traffic police team,Resource,RES-TPT,Traffic Police Team,"Response resource requested in dispatcher logs; appears 2,405 times in the Stage 03 corpus.",Dispatch traffic police team to the affected location.,derived from Stage 03 corpus
earthmover (JCB),Resource,RES-EJ,Earthmover (Jcb),"Response resource requested in dispatcher logs; appears 2,399 times in the Stage 03 corpus.",Dispatch earthmover (JCB) to the affected location.,derived from Stage 03 corpus
road clearance crew,Resource,RES-RCC,Road Clearance Crew,"Response resource requested in dispatcher logs; appears 2,350 times in the Stage 03 corpus.",Dispatch road clearance crew to the affected location.,derived from Stage 03 corpus
emergency medical team,Resource,RES-EMT,Emergency Medical Team,"Response resource requested in dispatcher logs; appears 2,024 times in the Stage 03 corpus.",Dispatch emergency medical team to the affected location.,derived from Stage 03 corpus
paramedic team,Resource,RES-PT,Paramedic Team,"Response resource requested in dispatcher logs; appears 1,997 times in the Stage 03 corpus.",Dispatch paramedic team to the affected location.,derived from Stage 03 corpus
medical first-aid kit,Resource,RES-MFAK,Medical First-Aid Kit,"Response resource requested in dispatcher logs; appears 1,985 times in the Stage 03 corpus.",Dispatch medical first-aid kit to the affected location.,derived from Stage 03 corpus
