pair_id,source,grouping,report,summary,priority,worst_severity,hazard_types,total_headcount,resources_required,locations,state,district,zone,entry_count,window_minutes,first_timestamp,last_timestamp,incident_ids,report_words,summary_words,compression_pct,split
SLM-000001,stage03_dispatcher,natural,"INCIDENT LOG | Kerala / Kottayam / ZONE-5 | 7 entries || [02-02-2026 22:44] ERSS-010582 | Medical emergency reported (Situation update) in a residential colony in Kottayam, Kerala. 20 persons affected, no injuries reported. Response team requested:  ambulance. || [02-02-2026 22:56] ERSS-023298 | Rescue operation required (Situation update) in the hilly terrain in Kottayam, Kerala. 40 people affected, some injuries reported. Dispatch requested for ambulance. || [03-02-2026 02:05] ERSS-030168 | Rescue operation required (Incident reported) in the low-lying area in Kottayam, Kerala. 23 individuals affected, some injuries reported. Please dispatch fire and rescue unit. || [03-02-2026 02:12] ERSS-050162 | Waterlogging reported (Incident reported) in the old town area in Kottayam, Kerala. 1 individuals affected, no injuries reported. Dispatch requested for water pump and sandbags. || [03-02-2026 02:43] ERSS-041498 | Flooding reported (Situation update) in a residential colony in Kottayam, Kerala. 14 residents affected, no further details available. Please dispatch life jackets. || [03-02-2026 02:49] ERSS-033186 | Flooding reported (Emergency report received) near the government hospital in Kottayam, Kerala. 7 persons affected, no injuries reported. Please dispatch rescue boat. || [03-02-2026 02:51] ERSS-059907 | Road blockage reported (Situation update) near the main bridge in Kottayam, Kerala. 10 persons affected, no further details available. Dispatch requested for road clearance crew.","URGENT: medical emergencies and rescue emergencies plus 2 more, ZONE-5 Kottayam, Kerala. 7 reports, 115 affected. Deploy ambulance and fire and rescue unit plus 1 more to residential colony; IC to confirm ACCESS. commit teams; TRIAGE + CAS tracking; IC to verify ACCESS route.",URGENT,HIGH,Medical Emergency; Rescue Emergency; Flood; Road Blockage,115,ambulance; fire and rescue unit; water pump,residential colony; hilly terrain; low-lying area; old town area; government hospital; main bridge,Kerala,Kottayam,ZONE-5,7,247.0,02-02-2026 22:44,03-02-2026 02:51,ERSS-010582; ERSS-023298; ERSS-030168; ERSS-050162; ERSS-041498; ERSS-033186; ERSS-059907,201,44,78.1,train
SLM-000002,stage03_dispatcher,natural,"INCIDENT LOG | Uttar Pradesh / Kanpur / ZONE-1 | 6 entries || [30-01-2026 12:06] ERSS-024977 | Road blockage reported (Incident reported) at the highway junction in Kanpur, Uttar Pradesh. 6 people affected, some injuries reported. Dispatch requested for earthmover (JCB). || [30-01-2026 12:24] ERSS-044163 | Rescue operation required (Situation update) in the old town area in Kanpur, Uttar Pradesh. 14 individuals affected, no further details available. Dispatch requested for rescue rope and ladder and NDRF rescue team. || [30-01-2026 12:56] ERSS-022647 | Waterlogging reported (Emergency report received) on the national highway in Kanpur, Uttar Pradesh. 33 persons affected, minor injuries reported. Response team requested:  drainage team and road clearance team. || [30-01-2026 19:00] ERSS-044259 | Waterlogging reported (Emergency report received) near the government hospital in Kanpur, Uttar Pradesh. 19 residents affected, evacuation assistance requested. Response team requested:  water pump. || [30-01-2026 19:05] ERSS-029957 | Rescue operation required (Situation update) in a residential colony in Kanpur, Uttar Pradesh. 13 individuals affected, minor injuries reported. Dispatch requested for fire and rescue unit. || [30-01-2026 19:31] ERSS-045898 | Medical emergency reported (Situation update) in the riverside settlement in Kanpur, Uttar Pradesh. 69 people affected, evacuation assistance requested. Dispatch requested for paramedic team.","IMMEDIATE. road blockages and rescue emergencies plus 2 more in ZONE-1 Kanpur, Uttar Pradesh; 154 affected, 6 reports. Dispatch earthmover (JCB) and rescue rope and ladder plus 1 more via ACCESS route to highway junction. EVAC under way; NDRF requested; SITREP every 5 min.",IMMEDIATE,CRITICAL,Road Blockage; Rescue Emergency; Flood; Medical Emergency,154,earthmover (JCB); rescue rope and ladder; NDRF rescue team,highway junction; old town area; national highway; government hospital; residential colony; riverside settlement,Uttar Pradesh,Kanpur,ZONE-1,6,445.0,30-01-2026 12:06,30-01-2026 19:31,ERSS-024977; ERSS-044163; ERSS-022647; ERSS-044259; ERSS-029957; ERSS-045898,194,44,77.3,train
SLM-000003,stage03_dispatcher,natural,"INCIDENT LOG | Uttar Pradesh / Prayagraj / ZONE-1 | 7 entries || [02-01-2025 00:04] ERSS-037410 | Medical emergency reported (Incident reported) on the national highway in Prayagraj, Uttar Pradesh. 19 people affected, no injuries reported. Response team requested:  ambulance. || [02-01-2025 00:15] ERSS-037745 | Rescue operation required (Situation update) close to the river bank in Prayagraj, Uttar Pradesh. 6 people affected, minor injuries reported. Response team requested:  NDRF rescue team. || [02-01-2025 00:30] ERSS-054153 | Waterlogging reported (Situation update) near the village school in Prayagraj, Uttar Pradesh. 10 people affected, no further details available. Please dispatch road clearance team. || [02-01-2025 00:40] ERSS-032352 | Rescue operation required (Situation update) in the hilly terrain in Prayagraj, Uttar Pradesh. 5 people affected, some injuries reported. Response team requested:  NDRF rescue team and rescue rope and ladder. || [02-01-2025 00:56] ERSS-015368 | Road blockage reported (Situation update) near the government hospital in Prayagraj, Uttar Pradesh. 7 individuals affected, minor injuries reported. Please dispatch traffic police team and tow truck. || [02-01-2025 06:06] ERSS-026224 | Waterlogging reported (Situation update) near the government hospital in Prayagraj, Uttar Pradesh. 3 individuals affected, no injuries reported. Response team requested:  drainage team and water pump. || [02-01-2025 06:17] ERSS-029475 | Flooding reported (Situation update) in the riverside settlement in Prayagraj, Uttar Pradesh. 1 residents affected, no further details available. Dispatch requested for life jackets and rescue boat.","URGENT: ZONE-1 Prayagraj, Uttar Pradesh -- medical emergencies and rescue emergencies plus 2 more. 7 reports, 51 affected. Dispatch NDRF rescue team and ambulance plus 1 more via ACCESS route to national highway. deploy and confirm ETA; submit SITREP every 15 min.",URGENT,HIGH,Medical Emergency; Rescue Emergency; Flood; Road Blockage,51,NDRF rescue team; ambulance; road clearance team,national highway; river bank; village school; hilly terrain; government hospital; riverside settlement,Uttar Pradesh,Prayagraj,ZONE-1,7,373.0,02-01-2025 00:04,02-01-2025 06:17,ERSS-037410; ERSS-037745; ERSS-054153; ERSS-032352; ERSS-015368; ERSS-026224; ERSS-029475,223,42,81.2,train
SLM-000004,stage03_dispatcher,natural,"INCIDENT LOG | Bihar / Muzaffarpur / ZONE-2 | 6 entries || [11-01-2025 07:22] ERSS-043012 | Flooding reported (Situation update) on the national highway in Muzaffarpur, Bihar. 30 individuals affected, some injuries reported. Please dispatch water pump. || [11-01-2025 07:25] ERSS-025676 | Medical emergency reported (Incident reported) near the village school in Muzaffarpur, Bihar. 15 people affected, situation being monitored. Please dispatch paramedic team and emergency medical team. || [11-01-2025 07:27] ERSS-048180 | Road blockage reported (Emergency report received) in the hilly terrain in Muzaffarpur, Bihar. 3 persons affected, some injuries reported. Dispatch requested for earthmover (JCB) and tow truck. || [11-01-2025 10:02] ERSS-044764 | Road blockage reported (Emergency report received) in the riverside settlement in Muzaffarpur, Bihar. 18 individuals affected, residents moved to safer ground. Please dispatch traffic police team. || [11-01-2025 10:26] ERSS-003569 | Flooding reported (Incident reported) in the old town area in Muzaffarpur, Bihar. 5 persons affected, residents moved to safer ground. Response team requested:  water pump. || [11-01-2025 10:34] ERSS-045279 | Rescue operation required (Emergency report received) near the bus stand in Muzaffarpur, Bihar. 2 individuals affected, no injuries reported. Dispatch requested for NDRF rescue team.","URGENT: ZONE-2 Muzaffarpur, Bihar -- flooding and medical emergencies plus 2 more. 6 reports, 73 affected. Deploy water pump and paramedic team plus 1 more to national highway; IC to confirm ACCESS. deploy now; begin TRIAGE on arrival; notify SDRF.",URGENT,HIGH,Flood; Medical Emergency; Road Blockage; Rescue Emergency,73,water pump; paramedic team; emergency medical team,national highway; village school; hilly terrain; riverside settlement; old town area; bus stand,Bihar,Muzaffarpur,ZONE-2,6,192.0,11-01-2025 07:22,11-01-2025 10:34,ERSS-043012; ERSS-025676; ERSS-048180; ERSS-044764; ERSS-003569; ERSS-045279,185,40,78.4,train
SLM-000005,stage03_dispatcher,severity_banded,"INCIDENT LOG | Tamil Nadu / Madurai / ZONE-1 | 8 entries || [02-05-2025 04:19] ERSS-024081 | Waterlogging reported (Situation update) near the local market in Madurai, Tamil Nadu. 4 people affected, residents moved to safer ground. Dispatch requested for sandbags and drainage team. || [04-05-2025 03:51] ERSS-026118 | Rescue operation required (Incident reported) on the national highway in Madurai, Tamil Nadu. 4 residents affected, situation being monitored. Response team requested:  rescue rope and ladder and fire and rescue unit. || [12-05-2025 07:45] ERSS-001588 | Flooding reported (Emergency report received) close to the river bank in Madurai, Tamil Nadu. 10 persons affected, no further details available. Response team requested:  NDRF flood rescue team and water pump. || [12-05-2025 07:59] ERSS-029725 | Flooding reported (Situation update) in the low-lying area in Madurai, Tamil Nadu. 12 people affected, evacuation assistance requested. Response team requested:  rescue boat. || [14-05-2025 05:07] ERSS-057358 | Medical emergency reported (Emergency report received) in the old town area in Madurai, Tamil Nadu. 10 persons affected, residents moved to safer ground. Response team requested:  paramedic team and ambulance. || [14-05-2025 20:48] ERSS-014759 | Flooding reported (Emergency report received) in a residential colony in Madurai, Tamil Nadu. 8 persons affected, medical assistance requested. Please dispatch NDRF flood rescue team. || [16-05-2025 11:16] ERSS-052884 | Waterlogging reported (Situation update) at the highway junction in Madurai, Tamil Nadu. 2 people affected, no injuries reported. Response team requested:  drainage team. || [16-05-2025 11:41] ERSS-002288 | Road blockage reported (Emergency report received) on the national highway in Madurai, Tamil Nadu. 5 people affected, minor injuries reported. Dispatch requested for road clearance crew.","ELEVATED: flooding and rescue emergencies plus 2 more, ZONE-1 Madurai, Tamil Nadu. 8 reports, 55 affected. drainage team and NDRF flood rescue team plus 1 more to local market; STAGING at nearest safe point. pre-position at STAGING area; SITREP every 30 min.",ELEVATED,MEDIUM,Flood; Rescue Emergency; Medical Emergency; Road Blockage,55,drainage team; NDRF flood rescue team; sandbags,local market; national highway; river bank; low-lying area; old town area; residential colony; highway junction,Tamil Nadu,Madurai,ZONE-1,8,20602.0,02-05-2025 04:19,16-05-2025 11:41,ERSS-024081; ERSS-026118; ERSS-001588; ERSS-029725; ERSS-057358; ERSS-014759; ERSS-052884; ERSS-002288,260,42,83.8,train
SLM-000006,stage03_dispatcher,severity_banded,"INCIDENT LOG | Maharashtra / Nagpur / ZONE-3 | 5 entries || [05-12-2025 05:15] ERSS-044958 | Road blockage reported (Incident reported) near the government hospital in Nagpur, Maharashtra. 4 individuals affected, medical assistance requested. Please dispatch tow truck and traffic police team. || [05-12-2025 05:42] ERSS-000508 | Medical emergency reported (Incident reported) in the old town area in Nagpur, Maharashtra. 2 people affected, some injuries reported. Response team requested:  emergency medical team. || [05-12-2025 11:53] ERSS-043319 | Waterlogging reported (Situation update) near the local market in Nagpur, Maharashtra. 13 people affected, some injuries reported. Response team requested:  road clearance team and water pump. || [05-12-2025 11:55] ERSS-008138 | Rescue operation required (Incident reported) on the national highway in Nagpur, Maharashtra. 13 people affected, some injuries reported. Response team requested:  fire and rescue unit. || [15-12-2025 20:03] ERSS-055316 | Flooding reported (Situation update) near the main bridge in Nagpur, Maharashtra. 9 people affected, evacuation assistance requested. Please dispatch water pump and life jackets.","ELEVATED: road blockages and medical emergencies plus 2 more, ZONE-3 Nagpur, Maharashtra. 5 reports, 41 affected. Send water pump and tow truck plus 1 more to government hospital; submit SITREP on arrival. STANDBY; update CAS count on change.",ELEVATED,MEDIUM,Road Blockage; Medical Emergency; Flood; Rescue Emergency,41,water pump; tow truck; traffic police team,government hospital; old town area; local market; national highway; main bridge,Maharashtra,Nagpur,ZONE-3,5,15288.0,05-12-2025 05:15,15-12-2025 20:03,ERSS-044958; ERSS-000508; ERSS-043319; ERSS-008138; ERSS-055316,157,38,75.8,train
SLM-000007,stage03_dispatcher,severity_banded,"INCIDENT LOG | Maharashtra / Nagpur / ZONE-2 | 7 entries || [31-12-2025 04:23] ERSS-059150 | Flooding reported (Situation update) in the hilly terrain in Nagpur, Maharashtra. 2 residents affected, some injuries reported. Please dispatch water pump. || [31-12-2025 04:57] ERSS-046573 | Medical emergency reported (Incident reported) at the highway junction in Nagpur, Maharashtra. 2 persons affected, casualties reported. Response team requested:  emergency medical team. || [31-12-2025 04:59] ERSS-011642 | Rescue operation required (Incident reported) in a residential colony in Nagpur, Maharashtra. 13 individuals affected, minor injuries reported. Dispatch requested for NDRF rescue team. || [02-01-2026 02:47] ERSS-050443 | Road blockage reported (Situation update) in a residential colony in Nagpur, Maharashtra. 12 people affected, minor injuries reported. Dispatch requested for traffic police team. || [02-01-2026 21:06] ERSS-056915 | Road blockage reported (Incident reported) near the government hospital in Nagpur, Maharashtra. 13 people affected, no injuries reported. Response team requested:  tow truck. || [04-01-2026 00:14] ERSS-012077 | Flooding reported (Situation update) in a residential colony in Nagpur, Maharashtra. 6 persons affected, evacuation assistance requested. Response team requested:  life jackets and NDRF flood rescue team. || [04-01-2026 00:56] ERSS-026573 | Waterlogging reported (Incident reported) near the bus stand in Nagpur, Maharashtra. 6 individuals affected, some injuries reported. Dispatch requested for drainage team.","ELEVATED: flooding and medical emergencies plus 2 more, ZONE-2 Nagpur, Maharashtra. 7 reports, 54 affected. Deploy water pump and emergency medical team plus 1 more to hilly terrain; IC to confirm ACCESS. pre-position at STAGING area; SITREP every 30 min.",ELEVATED,MEDIUM,Flood; Medical Emergency; Rescue Emergency; Road Blockage,54,water pump; emergency medical team; NDRF rescue team,hilly terrain; highway junction; residential colony; government hospital; bus stand,Maharashtra,Nagpur,ZONE-2,7,5553.0,31-12-2025 04:23,04-01-2026 00:56,ERSS-059150; ERSS-046573; ERSS-011642; ERSS-050443; ERSS-056915; ERSS-012077; ERSS-026573,203,40,80.3,train
SLM-000008,stage03_dispatcher,natural,"INCIDENT LOG | Bihar / Bhagalpur / ZONE-4 | 5 entries || [02-03-2025 18:11] ERSS-024375 | Flooding reported (Incident reported) at the railway crossing in Bhagalpur, Bihar. 36 individuals affected, situation being monitored. Response team requested:  life jackets and NDRF flood rescue team. || [02-03-2025 18:11] ERSS-014436 | Rescue operation required (Situation update) near the local market in Bhagalpur, Bihar. 37 individuals affected, residents moved to safer ground. Response team requested:  ambulance. || [02-03-2025 18:18] ERSS-014782 | Flooding reported (Situation update) in the hilly terrain in Bhagalpur, Bihar. 8 individuals affected, some injuries reported. Dispatch requested for water pump. || [02-03-2025 18:49] ERSS-006471 | Waterlogging reported (Emergency report received) near the industrial area in Bhagalpur, Bihar. 13 residents affected, some injuries reported. Please dispatch road clearance team. || [02-03-2025 18:53] ERSS-032623 | Waterlogging reported (Incident reported) in the old town area in Bhagalpur, Bihar. 29 persons affected, casualties reported. Response team requested:  sandbags.","IMMEDIATE: ZONE-4 Bhagalpur, Bihar -- flooding and rescue emergencies. 5 reports, 123 affected. Dispatch life jackets and NDRF flood rescue team plus 1 more via ACCESS route to railway crossing. all units, EVAC of affected persons; notify NDMA and SDRF.",IMMEDIATE,CRITICAL,Flood; Rescue Emergency,123,life jackets; NDRF flood rescue team; ambulance,railway crossing; local market; hilly terrain; industrial area; old town area,Bihar,Bhagalpur,ZONE-4,5,42.0,02-03-2025 18:11,02-03-2025 18:53,ERSS-024375; ERSS-014436; ERSS-014782; ERSS-006471; ERSS-032623,148,40,73.0,train
SLM-000009,stage03_dispatcher,severity_banded,"INCIDENT LOG | Kerala / Thrissur / ZONE-2 | 7 entries || [14-12-2025 09:53] ERSS-038946 | Flooding reported (Emergency report received) near the bus stand in Thrissur, Kerala. 6 persons affected, no injuries reported. Please dispatch rescue boat. || [15-12-2025 10:30] ERSS-043843 | Flooding reported (Situation update) on the national highway in Thrissur, Kerala. 3 people affected, minor injuries reported. Please dispatch relief supplies. || [15-12-2025 10:38] ERSS-017664 | Rescue operation required (Situation update) near the main bridge in Thrissur, Kerala. 3 residents affected, evacuation assistance requested. Dispatch requested for NDRF rescue team and fire and rescue unit. || [15-12-2025 14:59] ERSS-033787 | Waterlogging reported (Situation update) in a residential colony in Thrissur, Kerala. 14 persons affected, minor injuries reported. Dispatch requested for drainage team. || [19-12-2025 22:24] ERSS-050349 | Flooding reported (Emergency report received) near the main bridge in Thrissur, Kerala. 15 persons affected, residents moved to safer ground. Dispatch requested for NDRF flood rescue team and rescue boat. || [19-12-2025 22:39] ERSS-032535 | Flooding reported (Situation update) near the main bridge in Thrissur, Kerala. 11 individuals affected, minor injuries reported. Response team requested:  NDRF flood rescue team and rescue boat. || [27-12-2025 08:17] ERSS-051020 | Flooding reported (Situation update) at the railway crossing in Thrissur, Kerala. 15 residents affected, minor injuries reported. Response team requested:  life jackets.","ELEVATED - ZONE-2 Thrissur (Kerala): flooding and rescue emergencies, 67 affected across 7 reports. Dispatch rescue boat and NDRF flood rescue team plus 1 more via ACCESS route to bus stand. pre-position at STAGING area; SITREP every 30 min.",ELEVATED,MEDIUM,Flood; Rescue Emergency,67,rescue boat; NDRF flood rescue team; relief supplies,bus stand; national highway; main bridge; residential colony; railway crossing,Kerala,Thrissur,ZONE-2,7,18624.0,14-12-2025 09:53,27-12-2025 08:17,ERSS-038946; ERSS-043843; ERSS-017664; ERSS-033787; ERSS-050349; ERSS-032535; ERSS-051020,212,39,81.6,train
SLM-000010,stage03_dispatcher,severity_banded,"INCIDENT LOG | Maharashtra / Pune / ZONE-5 | 6 entries || [24-12-2025 13:14] ERSS-036427 | Waterlogging reported (Incident reported) in the hilly terrain in Pune, Maharashtra. 34 individuals affected, no further details available. Please dispatch water pump. || [24-12-2025 13:21] ERSS-046943 | Waterlogging reported (Incident reported) in the low-lying area in Pune, Maharashtra. 24 persons affected, evacuation assistance requested. Dispatch requested for drainage team and sandbags. || [24-12-2025 13:22] ERSS-049156 | Rescue operation required (Incident reported) in the low-lying area in Pune, Maharashtra. 33 individuals affected, multiple injuries reported. Dispatch requested for fire and rescue unit and rescue rope and ladder. || [29-12-2025 23:50] ERSS-038635 | Flooding reported (Incident reported) in a residential colony in Pune, Maharashtra. 25 individuals affected, some injuries reported. Response team requested:  life jackets. || [03-01-2026 14:28] ERSS-021433 | Road blockage reported (Incident reported) near the main bridge in Pune, Maharashtra. 25 persons affected, no injuries reported. Please dispatch road clearance crew and traffic police team. || [04-01-2026 04:05] ERSS-000390 | Medical emergency reported (Emergency report received) near the main bridge in Pune, Maharashtra. 37 persons affected, residents moved to safer ground. Please dispatch emergency medical team.","URGENT: flooding and rescue emergencies plus 2 more, ZONE-5 Pune, Maharashtra. 6 reports, 178 affected. Dispatch water pump and drainage team plus 1 more via ACCESS route to hilly terrain. deploy now; begin TRIAGE on arrival; notify SDRF.",URGENT,HIGH,Flood; Rescue Emergency; Road Blockage; Medical Emergency,178,water pump; drainage team; sandbags,hilly terrain; low-lying area; residential colony; main bridge,Maharashtra,Pune,ZONE-5,6,15291.0,24-12-2025 13:14,04-01-2026 04:05,ERSS-036427; ERSS-046943; ERSS-049156; ERSS-038635; ERSS-021433; ERSS-000390,186,38,79.6,train
