prompt_id,BS01,BS02,BS03,BS04,BS05,BS06,BS07,BS08,BS09,BS10,BS11,BS12,BS13,BS14,BS15,BS16,BS17
S01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
S02,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
S03,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
S04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S05,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
S06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S07,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S08,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S09,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
S10,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
S11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
S12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
S14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
S15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
S16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
S17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
S20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
W01,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
