suite,variant,scenario_id,scenario,zones,zones_goal_passed,workflow_violations,inventory_over_commit,unsafe_commits,goal_passed,tool_calls,tool_errors,invalid_arguments,redundant_calls,steps,pending_approvals,escalations,mutual_aid_requests,commits,latency_ms,high_severity_needs,high_severity_needs_covered,priority_inversions,confident_wrong_allocations,plan_adherence,plan_check_ok,tot_branch,debate_objections,negotiations,reflexion_revisions,notifications
cvae,agent,S01,Baseline river overflow,3,3,0,False,0,True,35,0,0,0,47,2,3,3,0,530.1,6,6,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,agent,S02,The 2 AM mission,3,3,0,False,0,True,41,0,0,0,57,3,6,9,0,305.2,9,5,0,0,1.0,True,one_each_then_rank,0,2,0,0
cvae,agent,S03,Cyclonic coastal landfall,4,4,0,False,0,True,54,0,0,0,65,3,6,8,0,345.7,8,8,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,agent,S04,Urban cloudburst waterlogging,2,2,0,False,0,True,24,0,0,0,34,2,3,1,0,144.6,3,3,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,agent,S05,Negated flood rumour,2,1,0,False,0,False,17,0,0,0,27,1,1,0,0,185.8,0,0,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,agent,S06,Silent rise while residents sleep,2,2,0,False,0,True,14,0,0,0,26,2,2,0,0,126.8,2,2,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,agent,S07,Telemetry dropout,3,3,0,False,0,True,28,0,0,0,38,2,3,2,0,87.8,2,2,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,agent,S08,Gauge logger malfunction,2,2,0,False,0,True,22,0,0,0,32,1,2,1,0,148.5,3,3,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,agent,S09,People versus sensors,2,1,0,False,0,False,22,0,0,0,34,2,3,1,0,162.0,2,2,0,0,1.0,True,weighted_round_robin,1,1,0,0
cvae,agent,S10,Camera versus gauge,2,2,0,False,0,True,22,0,0,0,32,1,1,0,0,261.8,3,3,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,agent,S11,Receding but still flooded,2,2,0,False,0,True,21,0,0,0,31,1,1,0,0,199.0,3,3,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,agent,S12,Bridge collapse isolation,2,2,0,False,0,True,31,0,0,0,43,2,4,6,0,182.7,6,5,0,0,1.0,True,weighted_round_robin,0,1,0,0
cvae,agent,S13,Hospital ground floor flooding,2,2,0,False,0,True,26,0,0,0,36,2,3,3,0,183.3,3,3,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,agent,S14,Night dam spillway release,3,3,0,False,0,True,45,0,0,0,57,3,6,8,0,253.5,9,9,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,agent,S15,Five-state monsoon cascade,5,5,0,False,0,True,60,0,0,0,73,4,7,4,0,389.5,9,9,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,agent,S16,Out-of-season cloudburst,2,2,0,False,0,True,22,0,0,0,32,1,2,1,0,122.4,3,3,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,agent,S17,Garbled panic messages,3,3,0,False,0,True,36,0,0,0,47,2,4,4,0,235.6,5,5,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,agent,S18,All quiet (do not cry wolf),3,1,0,False,0,False,26,0,0,0,38,0,2,0,0,302.9,0,0,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,agent,S19,"Four hazards, one district",2,2,0,False,0,True,32,0,0,0,43,2,4,6,0,159.8,6,6,0,0,1.0,True,weighted_round_robin,0,0,0,0
cvae,agent,S20,"Slow onset, pre-position now",2,2,0,False,0,True,16,0,0,0,27,0,1,0,0,186.2,0,0,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,agent,W01,Flash flood + municipal blackout,4,4,0,False,0,True,37,0,0,0,53,4,7,7,0,231.8,7,4,0,0,1.0,True,weighted_round_robin,1,2,0,0
cvae,fcfs_allocation,S01,Baseline river overflow,3,3,0,False,0,True,36,0,0,0,42,2,4,5,0,9.0,6,4,0,0,1.0,True,fcfs,0,0,0,0
cvae,fcfs_allocation,S02,The 2 AM mission,3,3,0,False,0,True,39,0,0,0,46,3,6,9,0,10.1,9,3,0,0,1.0,True,fcfs,0,0,0,0
cvae,fcfs_allocation,S03,Cyclonic coastal landfall,4,4,0,False,0,True,48,0,0,0,53,3,6,7,0,13.2,8,3,0,0,1.0,True,fcfs,0,0,0,0
cvae,fcfs_allocation,S04,Urban cloudburst waterlogging,2,2,0,False,0,True,24,0,0,0,29,2,3,1,0,5.9,3,3,0,0,1.0,True,fcfs,0,0,0,0
cvae,fcfs_allocation,S05,Negated flood rumour,2,1,0,False,0,False,17,0,0,0,22,1,1,0,0,5.0,0,0,0,0,1.0,True,fcfs,0,0,0,0
cvae,fcfs_allocation,S06,Silent rise while residents sleep,2,2,0,False,0,True,14,0,0,0,20,2,2,0,0,4.3,2,2,0,0,1.0,True,fcfs,0,0,0,0
cvae,fcfs_allocation,S07,Telemetry dropout,3,3,0,False,0,True,29,0,0,0,34,2,4,4,0,8.9,2,2,0,0,1.0,True,fcfs,0,0,0,0
cvae,fcfs_allocation,S08,Gauge logger malfunction,2,2,0,False,0,True,22,0,0,0,27,1,2,1,0,12.0,3,3,0,0,1.0,True,fcfs,0,0,0,0
cvae,fcfs_allocation,S09,People versus sensors,2,1,0,False,0,False,22,0,0,0,27,2,3,1,0,10.3,2,2,0,0,1.0,True,fcfs,0,0,0,0
cvae,fcfs_allocation,S10,Camera versus gauge,2,2,0,False,0,True,22,0,0,0,27,1,1,0,0,9.3,3,3,0,0,1.0,True,fcfs,0,0,0,0
cvae,fcfs_allocation,S11,Receding but still flooded,2,2,0,False,0,True,21,0,0,0,26,1,1,0,0,5.9,3,3,0,0,1.0,True,fcfs,0,0,0,0
cvae,fcfs_allocation,S12,Bridge collapse isolation,2,2,0,False,0,True,29,0,0,0,34,2,4,6,0,10.2,6,3,0,0,1.0,True,fcfs,0,0,0,0
cvae,fcfs_allocation,S13,Hospital ground floor flooding,2,2,0,False,0,True,27,0,0,0,32,2,4,4,0,11.3,3,3,0,0,1.0,True,fcfs,0,0,0,0
cvae,fcfs_allocation,S14,Night dam spillway release,3,3,0,False,0,True,40,0,0,0,46,3,6,9,0,12.1,9,3,0,0,1.0,True,fcfs,0,0,0,0
cvae,fcfs_allocation,S15,Five-state monsoon cascade,5,5,0,False,0,True,58,0,0,0,64,4,8,5,0,14.9,9,7,0,0,1.0,True,fcfs,0,0,0,0
